id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,,
1400000US47003950800,,"Census Tract 9508, Bedford County, Tennessee",0,0,0,0,63,0,0,0,38,36,8,0,164,0,0,1,13,22,0,0,0,97,22,9,0,259,0,0,0,25,25,7,0,0,44,31,34,93,75.3,170.2,178.5,144,568,,
1400000US47005963000,,"Census Tract 9630, Benton County, Tennessee",33,0,3,12,0,9,0,7,37,9,18,15,184,0,9,4,20,34,19,0,9,51,8,16,14,219,6,4,0,25,2,11,20,16,49,34,30,22,127.88,183.62,119.5,115,546,,
1400000US47005963100,,"Census Tract 9631, Benton County, Tennessee",0,0,68,0,0,0,0,0,21,0,24,0,131,20,8,6,0,0,18,0,0,34,23,0,22,323,0,8,0,0,0,13,0,11,17,242,32,0,110,78,301,78,567,,
1400000US47005963200,,"Census Tract 9632, Benton County, Tennessee",14,0,0,0,0,21,0,0,24,0,0,0,189,47,0,0,31,7,19,0,4,74,0,7,0,248,80,0,0,59,25,10,0,3,54,8,4,5,241.56,154.44,84,16,496,,
1400000US47005963300,,"Census Tract 9633, Benton County, Tennessee",158,0,43,21,0,0,0,15,41,58,0,11,236,0,10,63,63,11,0,0,0,48,0,41,0,238,70,0,12,0,0,15,38,0,43,48,12,0,443.63,141.37,172,64,821,,
1400000US47005963400,,"Census Tract 9634, Benton County, Tennessee",23,8,27,42,64,9,10,0,21,13,0,0,223,0,8,4,80,42,35,7,0,39,0,0,8,170,26,0,6,24,61,9,0,10,19,0,6,9,303.11,231.39,52.5,23,610,,
1400000US47007953000,,"Census Tract 9530, Bledsoe County, Tennessee",56,0,0,10,0,30,0,0,19,64,0,0,112,23,0,0,15,7,8,0,28,0,31,0,0,164,58,6,0,6,7,8,0,52,11,5,0,11,178.62,150.38,115,11,455,,
1400000US47007953100,,"Census Tract 9531, Bledsoe County, Tennessee",58,22,8,37,15,11,41,27,63,34,27,7,313,13,18,20,49,27,10,15,0,51,77,9,24,493,18,36,68,73,43,8,32,1,92,70,37,15,448.05,304.95,284,119,1156,,
1400000US47007953200,,"Census Tract 9532, Bledsoe County, Tennessee",34,7,0,0,22,0,0,28,53,0,0,0,189,23,7,0,20,15,7,0,14,44,38,21,0,320,33,50,41,13,34,7,10,19,73,32,0,8,251.43,217.57,155,29,653,,
1400000US47009010100,,"Census Tract 101, Blount County, Tennessee",116,104,0,17,19,0,0,0,15,36,0,0,292,57,28,0,39,45,0,25,0,77,21,0,0,219,109,15,11,6,0,0,24,7,47,0,0,0,523.12,168.38,126.5,0,818,,
1400000US47009010200,,"Census Tract 102, Blount County, Tennessee",0,0,74,60,0,32,0,6,64,41,48,142,622,45,0,72,16,85,0,40,0,40,99,193,32,386,56,0,0,0,143,0,32,0,35,70,38,12,398.24,332.26,279.5,465,1475,,
1400000US47009010301,,"Census Tract 103.01, Blount County, Tennessee",99,0,39,24,35,22,49,118,34,22,50,10,395,0,12,0,73,18,137,0,52,39,29,12,23,393,0,0,0,60,22,67,0,0,112,34,98,0,331.75,587.75,177.5,193,1290,,
1400000US47009010302,,"Census Tract 103.02, Blount County, Tennessee",0,33,0,0,0,0,0,9,92,9,0,35,230,12,11,0,0,65,0,0,8,27,15,57,35,137,31,0,0,0,22,5,0,0,36,0,43,0,115.71,157.79,101.5,170,545,,
1400000US47009010400,,"Census Tract 104, Blount County, Tennessee",0,20,10,0,3,3,9,0,16,31,18,10,171,6,13,8,34,0,0,50,0,13,43,0,4,264,0,3,4,50,2,13,2,12,66,27,31,54,149.65,139.85,148.5,117,555,,
