id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,,
1400000US05007020201,,"Census Tract 202.01, Benton County, Arkansas",45,58,22,0,80,50,0,0,78,16,18,62,486,47,101,42,25,159,0,0,0,75,8,14,15,423,48,57,29,78,47,15,0,0,79,27,29,14,838,102.12,245.88,152,1338,,
1400000US05007020203,,"Census Tract 202.03, Benton County, Arkansas",0,0,0,0,60,0,0,6,15,12,34,20,237,0,0,0,67,40,12,0,32,34,9,30,13,340,15,8,0,89,8,0,0,0,57,119,0,44,287,66.96,229.04,141,724,,
1400000US05007020205,,"Census Tract 202.05, Benton County, Arkansas",113,9,11,149,39,24,10,34,112,0,0,0,584,30,0,21,98,9,29,71,90,108,9,47,72,625,55,17,21,112,27,135,0,37,87,57,66,11,711,479.12,323.88,196,1710,,
1400000US05007020206,,"Census Tract 202.06, Benton County, Arkansas",0,0,114,81,136,136,0,70,180,46,7,7,830,0,7,123,210,32,154,0,0,189,61,0,54,587,0,13,39,109,45,70,0,46,178,14,6,67,909,563.52,580.48,141,2194,,
1400000US05007020301,,"Census Tract 203.01, Benton County, Arkansas",15,36,16,0,70,14,0,49,94,7,27,0,427,82,59,49,7,37,16,50,18,98,0,11,0,414,79,0,12,20,48,42,52,12,83,27,32,7,530,297,265,77,1169,,
1400000US05007020302,,"Census Tract 203.02, Benton County, Arkansas",0,39,80,8,50,0,72,14,83,0,0,0,336,34,66,56,0,0,0,32,0,107,10,9,22,450,42,54,103,6,0,12,0,0,82,119,0,32,538,173.52,357.48,63,1132,,
1400000US05007020304,,"Census Tract 203.04, Benton County, Arkansas",14,17,33,40,4,0,29,11,38,23,41,104,313,32,19,11,37,0,4,17,8,47,25,15,98,246,5,0,29,49,0,0,0,37,0,0,8,118,290,119.6,119.4,384,913,,
1400000US05007020305,,"Census Tract 203.05, Benton County, Arkansas",30,28,0,0,82,9,0,0,49,27,0,65,326,0,48,12,0,37,31,0,0,91,43,27,37,411,0,120,12,0,10,12,0,9,99,34,37,78,379,99.24,304.76,244,1027,,
1400000US05007020401,,"Census Tract 204.01, Benton County, Arkansas",18,140,0,75,334,25,0,0,60,64,0,0,554,54,0,0,75,176,14,40,20,81,39,55,0,479,14,64,0,37,60,0,19,22,26,15,88,134,1047,166.72,258.28,277,1749,,
1400000US05007020402,,"Census Tract 204.02, Benton County, Arkansas",0,0,63,65,100,10,58,0,139,45,47,57,407,0,0,122,49,0,36,0,56,55,47,0,42,370,0,0,9,16,57,0,0,18,156,37,43,34,481,234,423,223,1361,,
