State_FIPS_Code,State,County,State_County_Tract_FIPS_Code,Primary_RUCA_Code,Secondary_RUCA_Code,Tract_Population,Land_Area,Population_Density
8005,CO,Arapahoe County,8005081700,1,1.0,2782,0.714465086324724,3893.82218
8005,CO,Arapahoe County,8005081800,1,1.0,5421,0.818201474292545,6625.5074946
8005,CO,Arapahoe County,8005081900,1,1.0,6332,1.01302399856679,6250.5922949
8005,CO,Arapahoe County,8005082000,1,1.0,3797,1.25694018659546,3020.8279125
8005,CO,Arapahoe County,8005082100,1,1.0,6750,0.751886495227005,8977.4188562
8005,CO,Arapahoe County,8005082200,1,1.0,5627,0.754688824813088,7456.0531639
8005,CO,Arapahoe County,8005082300,1,1.0,3636,0.481894124605983,7545.2258377
8005,CO,Arapahoe County,8005082400,1,1.0,4265,0.794836501172978,5365.8834159
8005,CO,Arapahoe County,8005082500,1,1.0,2310,0.487980639292537,4733.794364
8005,CO,Arapahoe County,8005082600,1,1.0,5059,0.997624699419457,5071.0452567
8005,CO,Arapahoe County,8005082700,1,1.0,3499,0.47030874274321,7439.7936547
8005,CO,Arapahoe County,8005082800,1,1.0,5030,0.760318194524453,6615.6512316
8005,CO,Arapahoe County,8005082900,1,1.0,4522,1.01652594529396,4448.4845871
8005,CO,Arapahoe County,8005083000,1,1.0,3245,3.96119132598298,819.19799701
8005,CO,Arapahoe County,8005083100,1,1.0,6739,1.01586378006385,6633.7634359
8005,CO,Arapahoe County,8005083200,1,1.0,8692,1.98206130684775,4385.3335767
8005,CO,Arapahoe County,8005083300,1,1.0,4399,0.74122312535811,5934.7851538
8005,CO,Arapahoe County,8005083400,1,1.0,6685,1.05404465194433,6342.2360596
8005,CO,Arapahoe County,8005083500,1,1.0,5274,0.730168633985949,7222.9889844
8005,CO,Arapahoe County,8005083600,1,1.0,3661,2.03928357969226,1795.2383065
8005,CO,Arapahoe County,8005083700,1,1.0,4356,1.79831528176965,2422.267132
8005,CO,Arapahoe County,8005083800,1,1.0,2842,0.496915815826174,5719.2786172
8005,CO,Arapahoe County,8005083900,1,1.0,2853,0.529238745507701,5390.7617766
8005,CO,Arapahoe County,8005084000,1,1.0,2327,0.327728545460442,7100.3885143
8005,CO,Arapahoe County,8005084100,1,1.0,4435,0.589934779620601,7517.7801906
8005,CO,Arapahoe County,8005084200,1,1.0,3548,0.572347053345421,6199.0360206
8005,CO,Arapahoe County,8005084300,1,1.0,3456,0.456047286705575,7578.1615213
8005,CO,Arapahoe County,8005084400,1,1.0,3143,0.408639345047159,7691.3788114
8005,CO,Arapahoe County,8005084500,1,1.0,2708,0.283202470436156,9562.06348
8005,CO,Arapahoe County,8005084600,1,1.0,5196,0.795271252222018,6533.6198001
8005,CO,Arapahoe County,8005084700,1,1.0,4665,0.680194271170368,6858.3347401
8005,CO,Arapahoe County,8005084800,1,1.0,3444,0.579405773308602,5944.0208549
8005,CO,Arapahoe County,8005084900,1,1.0,3066,0.714339603117852,4292.076187
8005,CO,Arapahoe County,8005085000,1,1.0,1805,1.24922277632174,1444.8984074
8005,CO,Arapahoe County,8005085100,1,1.0,6698,1.44170127429162,4645.9000345
8005,CO,Arapahoe County,8005085200,1,1.0,2809,1.39654546661992,2011.3917285
8005,CO,Arapahoe County,8005085300,1,1.0,2284,0.709382051190971,3219.7036789
8005,CO,Arapahoe County,8005085400,1,1.0,4320,0.713540757717796,6054.3142817
8005,CO,Arapahoe County,8005085500,1,1.0,5316,0.841166445558821,6319.7955982
8005,CO,Arapahoe County,8005085600,1,1.0,3203,0.494528546078206,6476.8758556
8005,CO,Arapahoe County,8005085700,1,1.0,4611,0.670735540087444,6874.5425349
8005,CO,Arapahoe County,8005085800,1,1.0,1706,0.335278773492387,5088.3030328
8005,CO,Arapahoe County,8005085900,1,1.0,3248,1.81331535126804,1791.1942331
8005,CO,Arapahoe County,8005086000,1,1.0,7684,1.30423924744053,5891.5571013
8005,CO,Arapahoe County,8005086100,1,1.0,4784,0.729943536417929,6553.9315869
8005,CO,Arapahoe County,8005086200,1,1.0,5814,0.855065737756314,6799.4772136
8005,CO,Arapahoe County,8005086300,1,1.0,3696,1.83388340023197,2015.3953079
8005,CO,Arapahoe County,8005086400,1,1.0,1980,3.11952487810754,634.71204025
8005,CO,Arapahoe County,8005086500,1,1.0,4632,2.37096735583331,1953.6329712
8005,CO,Arapahoe County,8005086600,1,1.0,4075,2.82510652559008,1442.423485
8005,CO,Arapahoe County,8005086700,1,1.0,3611,2.34629890177097,1539.0196012
8005,CO,Arapahoe County,8005086800,1,1.0,6106,0.66484169038621,9184.1412599
8005,CO,Arapahoe County,8005086900,1,1.0,2823,0.28282756522424,9981.3467537
8005,CO,Arapahoe County,8005087000,1,1.0,4550,0.372321802263177,12220.611236
8005,CO,Arapahoe County,8005087100,1,1.0,2505,0.37928168006956,6604.5900228
8005,CO,Arapahoe County,8005087200,1,1.0,3768,0.901440856096631,4179.974731
8005,CO,Arapahoe County,8005087300,1,1.0,7087,0.841203125265445,8424.8379341
8007,CO,Archuleta County,8007940400,10,10.0,1188,394.111302060087,3.0143768874
8007,CO,Archuleta County,8007974200,7,7.0,5349,28.7680425546373,185.93548692
8007,CO,Archuleta County,8007974300,8,8.0,3487,361.729014960687,9.6398128317
8007,CO,Archuleta County,8007974400,7,7.0,2060,565.56696903615,3.6423626428
8009,CO,Baca County,8009964600,10,10.0,1738,2042.68731553969,0.850839963
8009,CO,Baca County,8009964700,10,10.0,2050,512.279557279802,4.0017212689
8011,CO,Bent County,8011966700,7,7.0,6499,1512.86120900946,4.2958335909
8013,CO,Boulder County,8013012101,1,1.0,4770,1.10421167974523,4319.8238956
8013,CO,Boulder County,8013012102,1,1.0,6466,1.11275998189953,5810.7769017
8013,CO,Boulder County,8013012103,1,1.0,3804,0.8901774834478,4273.3051226
8013,CO,Boulder County,8013012104,1,1.0,2538,1.04281950341083,2433.7864719
8013,CO,Boulder County,8013012105,1,1.0,5589,0.955809833867956,5847.3974654
8013,CO,Boulder County,8013012201,1,1.0,3388,2.04700562319208,1655.1004851
