X,Y,med_indicator,chip_indicator,Specialty_keys,BOD_Formatted_Name,Latitude,Longitude,CensusYear,CensusTract,CensusCountyFips,CensusStateFips,CensusTract100,CensusStateFips2,State_county_tract,State_FIPS_Code,State,County,State_County_Tract_FIPS_Code,Primary_RUCA_Code,Secondary_RUCA_Code,Tract_Population,Land_Area,Population_Density
38.94028047,-104.7277038,1.0,0.0,pediatric,Corban Richard Stettler,38.941206099999995,-104.727924,TwoThousandTen,71.01,041,8.0,007101,8,8041007101,8041,CO,El Paso County,8041007101,1,1.0,4565,6.11718780164232,746.25794532
38.94028047,-104.7277038,1.0,0.0,pediatric,Dana Marie Saucier,38.941206099999995,-104.727924,TwoThousandTen,71.01,041,8.0,007101,8,8041007101,8041,CO,El Paso County,8041007101,1,1.0,4565,6.11718780164232,746.25794532
38.96769659,-104.7375114,1.0,0.0,pediatric,Tanya Kayan Karnavy,38.9669107,-104.7396308,TwoThousandTen,71.01,041,8.0,007101,8,8041007101,8041,CO,El Paso County,8041007101,1,1.0,4565,6.11718780164232,746.25794532
38.94028047,-104.7277038,1.0,0.0,specialist,Irina A Lovinescu,38.941206099999995,-104.727924,TwoThousandTen,71.01,041,8.0,007101,8,8041007101,8041,CO,El Paso County,8041007101,1,1.0,4565,6.11718780164232,746.25794532
39.74365703,-104.8368207,1.0,0.0,general,Douglas Claiborne Wilson,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,David Christopher Geck,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,John William Thousand III,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,John William Thousand IV,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,Manpreet Singh Sarao,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,Roger Jay Forman,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,Larisa Khmil,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,James Andrew DeLapp II,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,Kelly Santarelli,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,Jeremy Richard Jannuzzi,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,Harold Robert Christiansen,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,Sally Preston,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,KIMBERLY ANN MARSHALL,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,Jack Landess Goodrich,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,Charles Leland Schonberger,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,Donald Lawrence Nelson,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,James Alvin Woolum,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,Debora Chelsky Roubal,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,John Thomas Raabe,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,Sonia Ines Gallego-Cubillos,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,Andrew Lloyd Ricci,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,Kenneth S Peters,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74113735,-104.8366043,1.0,0.0,general,Katherine Leong Chin,39.742127,-104.8352452,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,Danny Abboud,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,Preston Howard Polson,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,Sara Anne Hauschild,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,Brigitte B. Segal,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,Daniel Edward Wilson,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,Timothy Robert Hinde,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,Shaheen Mirza Moezzi,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,Clifford Scott Litvak,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,Thomas Joseph Greany,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,Sophia Khan,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,Krithika Baskaran,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
39.74365703,-104.8368207,1.0,0.0,general,Andrey A Kondratenko,39.7440135,-104.8360276,TwoThousandTen,81.0,001,8.0,008100,8,8001008100,8001,CO,Adams County,8001008100,1,1.0,854,1.0402553988667098,820.95224012
