IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,hygienist_for_general_med,hygienist_for_general_chip,hygienist_for_pediatric_med,hygienist_for_pediatric_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"100 STOOPS DR,MONONGAHELA,PA,15063-3553",,0.5,,0.0,,0.0,,1.0,,0.0,,,40.16249444,-79.92333368,,,0.0,1.0
"100 W MAIN ST STE 200,LANSDALE,PA,19446-2030",,0.0,,0.0,,1.0,,0.0,,0.0,,,40.24246206,-75.28536776,,,0.0,1.0
"100 WILHAVEN RD STE 101,CANONSBURG,PA,15317-3094",,0.0,,0.0,,1.0,,0.0,,0.0,,,40.28736267,-80.1162971,,,0.0,1.0
"100 WILSON RD,BENTLEYVILLE,PA,15314-1028",,0.3333333333333333,,0.0,,0.0,,0.6666666666666666,,0.0,,,40.12753997,-80.00328535,,,0.0,1.0
"1000 BROOKTREE RD STE 101,WEXFORD,PA,15090-9286",,1.0,,0.0,,0.0,,2.0,,0.0,,,40.61588643,-80.05680193,,,0.0,1.0
"1000 BROOKTREE RD,WEXFORD,PA,15090-9286",,1.0,,0.0,,2.0,,2.0,,0.0,,,40.61588643,-80.05680193,,,0.0,1.0
"1000 COMMERCE DR FL 3,MOON TOWNSHIP,PA,15108-4739",,1.0,,0.0,,0.0,,2.0,,0.0,,,40.50427486,-80.21176802,,,0.0,1.0
"1000 E WALNUT ST STE 204,PERKASIE,PA,18944-5462",,0.0,,0.0,,0.2,,0.0,,0.0,,,40.35256486,-75.27591864,,,0.0,1.0
"1000 EAST MOUNTAIN BLVD,DANVILLE,PA,17822-0001",,0.0,,0.2,,0.5,,0.0,,0.4,,,40.969734,-76.60175299,,,0.0,1.0
"1000 GAMMA DR STE 108,PITTSBURGH,PA,15238-2923",,0.0,,0.0,,1.5,,0.0,,0.0,,,40.49984015,-79.86638443,,,0.0,1.0
"1000 GAMMA DR STE 620,PITTSBURGH,PA,15238-2928",,1.0,,0.0,,0.0,,2.0,,0.0,,,40.49984015,-79.86638443,,,0.0,1.0
"1000 GERMANTOWN PIKE STE F4,PLYMOUTH MEETING,PA,19462-2486",,0.5,,0.0,,0.0,,1.0,,0.0,,,40.13074253,-75.29656415,,,0.0,1.0
"1000 GERMANTOWN PIKE,PLYMOUTH MEETING,PA,19462-2480",,0.5,,0.0,,0.0,,1.0,,0.0,,,40.12914381,-75.29986916,,,0.0,1.0
"1000 JACKSON ST,PHILADELPHIA,PA,19148-3011",,2.0,,0.0,,0.0,,4.0,,0.0,,,39.92226263,-75.16325679,,,0.0,1.0
"1000 ROHRERSTOWN RD,LANCASTER,PA,17601-2402",,0.0,,0.0,,3.0,,0.0,,0.0,,,40.05940192,-76.35997571,,,0.0,1.0
"10000 ROOSEVELT BLVD STE 3,PHILADELPHIA,PA,19116-3904",,0.07142857142857142,,0.0,,0.0,,0.14285714285714285,,0.0,,,40.1050299,-75.00176655,,,0.0,1.0
"1001 S MARKET ST,MECHANICSBURG,PA,17055-4748",,1.0,,0.0,,0.0,,2.0,,0.0,,,40.2032373,-77.00062492,,,0.0,1.0
"1003 BROADWAY,FOUNTAIN HILL,PA,18015-4101",,2.5,,0.0,,0.0,,5.0,,0.0,,,40.60330939,-75.39182274,,,0.0,1.0
