IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,hygienist_for_general_med,hygienist_for_general_chip,hygienist_for_pediatric_med,hygienist_for_pediatric_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"351 W SCHUYLKILL RD STE G-15A,POTTSTOWN,PA,19465-7438",0.8805555555555555,0.6266233766233766,0.0,0.0,0.0,0.0,1.7611111111111108,1.2532467532467533,0.0,0.0,40.23563400000001,-75.66252749,40.23563400000001,-75.66252749,1.0,0.0,0.0,1.0
"351 W SCHUYLKILL RD STE G15A,POTTSTOWN,PA,19465-7438",1.8805555555555555,1.2432900432900431,0.0,0.0,0.0,0.0,3.761111111111111,2.4865800865800862,0.0,0.0,40.23341812,-75.66363514,40.23563400000001,-75.66252749,1.0,0.0,0.0,1.0
"3517 WATSON HWY,DU BOIS,PA,15801-5479",0.5,1.8333333333333333,0.0,0.0,0.0,0.0,1.0,3.6666666666666665,0.0,0.0,41.0867719,-78.76607270000002,41.0867719,-78.76607270000002,1.0,0.0,0.0,1.0
"353 MARKET ST STE 110,JOHNSTOWN,PA,15901-1711",0.3333333333333333,1.8333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,3.6666666666666665,0.0,0.0,40.3235149,-78.92161014,40.3235149,-78.92161014,1.0,0.0,0.0,1.0
"353 MARKET ST,JOHNSTOWN,PA,15901-1711",0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,40.3235149,-78.92161014,40.3235149,-78.92161014,1.0,0.0,0.0,1.0
"353 YORK ST,GETTYSBURG,PA,17325-1953",4.5,4.0,1.0,1.380952380952381,0.0,0.0,9.0,8.0,2.0,2.761904761904762,39.83233241,-77.22408028,39.83233241,-77.22408028,1.0,0.0,0.0,1.0
"3532 BRODHEAD RD,MONACA,PA,15061-3126",1.5,1.75,0.0,0.0,0.0,0.0,3.0,3.5,0.0,0.0,40.65492946,-80.31511918,40.65492946,-80.31511918,1.0,0.0,0.0,1.0
"355  5TH AVE  STE 1300,PITTSBURGH,PA,15222-2410",0.0,,0.0,,0.3333333333333333,,0.0,,0.0,,40.44017246,-79.99884399999998,,,1.0,0.0,,
"355 5TH AVE STE 1300,PITTSBURGH,PA,15222-2410",0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,40.44017246,-79.99884399999998,40.44017246,-79.99884399999998,1.0,0.0,0.0,1.0
"3554 HULMEVILLE RD STE 110,BENSALEM,PA,19020-4366",0.09090909090909093,0.07692307692307693,0.0,0.0,0.3206349206349206,1.4726190476190475,0.18181818181818185,0.15384615384615385,0.0,0.0,40.10498601,-74.93921072,40.10498601,-74.93921072,1.0,0.0,0.0,1.0
"3554 HULMEVILLE RD,BENSALEM,PA,19020-4366",0.09090909090909093,0.0,0.0,0.0,0.2095238095238096,0.2816849816849817,0.18181818181818185,0.0,0.0,0.0,40.10498601,-74.93921072,40.10498601,-74.93921072,1.0,0.0,0.0,1.0
