IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,hygienist_for_general_med,hygienist_for_general_chip,hygienist_for_pediatric_med,hygienist_for_pediatric_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"1006 MAIN ST,REPUBLIC,PA,15475",0.4,2.6833333333333336,0.0,0.0,0.0,0.0,0.8,5.366666666666667,0.0,0.0,39.96293018,-79.87804958,39.96293018,-79.87804958,1.0,0.0,0.0,1.0
"101 LONG LN FL 1,UPPER DARBY,PA,19082-3112",1.0,1.8333333333333333,0.0,0.0,0.0,0.0,2.0,3.6666666666666665,0.0,0.0,39.95954617,-75.26285103,39.95954617,-75.26285103,1.0,0.0,0.0,1.0
"101 LONG LN,UPPER DARBY,PA,19082-3112",0.5,0.8333333333333333,0.0,0.0,0.0,0.0,1.0,1.6666666666666663,0.0,0.0,39.95954617,-75.26285103,39.95954617,-75.26285103,1.0,0.0,0.0,1.0
"101 OLD YORK RD STE 301,JENKINTOWN,PA,19046-3931",1.6195765620688218,7.089645893322365,1.3362135449091972,2.9507797757797767,0.0,0.14285714285714285,3.2391531241376437,14.17929178664473,2.6724270898183944,5.901559551559553,40.09297287,-75.12532471,40.09297287,-75.12532471,1.0,0.0,0.0,1.0
"101 OLD YORK RD,JENKINTOWN,PA,19046-3912",3.1776181120221363,3.3733187564069924,1.7322452909409431,2.0814803121406897,0.0,0.1111111111111111,6.355236224044273,6.746637512813988,3.4644905818818863,4.16296062428138,40.09297287,-75.12532471,40.09297287,-75.12532471,1.0,0.0,0.0,1.0
"101 S 9TH ST,LEBANON,PA,17042-5108",3.083333333333333,6.2666666666666675,0.0,0.0,0.0,0.3333333333333333,6.166666666666666,12.533333333333335,0.0,0.0,40.33763822,-76.4260885,40.33763822,-76.4260885,1.0,0.0,0.0,1.0
"101 W FAIRMONT AVE,NEW CASTLE,PA,16105-2853",0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,41.02116153,-80.34981299,41.02116153,-80.34981299,1.0,0.0,0.0,1.0
"1010 JEFFERSON ST,LATROBE,PA,15650-1856",0.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.0,0.0,0.0,0.0,40.31484156,-79.38426541,40.31484156,-79.38426541,1.0,0.0,0.0,1.0
"10108 BUSTLETON AVE,PHILADELPHIA,PA,19116-3704",6.894444444444442,3.0396825396825395,0.0,0.0,0.0,0.3666666666666667,13.788888888888884,6.079365079365079,0.0,0.0,40.10396034,-75.02820143,40.10396034,-75.02820143,1.0,0.0,0.0,1.0
"1012 BIGLER AVE,NORTHERN CAMBRIA,PA,15714",0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,40.63945448,-78.76382374,40.63945448,-78.76382374,1.0,0.0,0.0,1.0
