idx,IKN_addr,general,pediatric,specialist,Y_lat,X_long,med_indicator,chip_indicator,hygienist_for_general,hygienist_for_pediatric
59,"100 CAMPBELL BLVD STE 102,EXTON,PA,19341-2545",1.3333333333333333,0.0,0.0,40.02222461,-75.64824783,0,1,2.6666666666666665,0.0
60,"100 CHATHAM PARK DR STE 100,PITTSBURGH,PA,15220-2109",0.14285714285714285,0.0,0.0,40.40272468,-80.05803883,0,1,0.2857142857142857,0.0
61,"100 CHATHAM PARK DR,PITTSBURGH,PA,15220-2109",0.25396825396825395,0.0,0.0,40.40272468,-80.05803883,0,1,0.5079365079365079,0.0
62,"100 CHERRINGTON PKWY,MOON TOWNSHIP,PA,15108-4303",0.0,0.0,0.5,40.49858201,-80.20324487,0,1,0.0,0.0
63,"100 COMMUNITY DR STE 201,TOBYHANNA,PA,18466-8987",1.0,0.0,0.0,41.14779341,-75.37133767,0,1,2.0,0.0
64,"100 DUTTON ST,RIDLEY PARK,PA,19078-2203",0.5,0.0,0.3333333333333333,39.87881158,-75.32192777,0,1,1.0,0.0
65,"100 E ALLEGHENY AVE,PHILADELPHIA,PA,19134-2207",0.5357142857142857,0.0,0.0,39.99850864,-75.12913542,0,1,1.0714285714285714,0.0
66,"100 E LEHIGH AVE STE PM2,PHILADELPHIA,PA,19125-1012",0.25,0.75,2.3166666666666664,39.99086662,-75.13088417,0,1,0.5,1.5
67,"100 E LEHIGH AVE,PHILADELPHIA,PA,19125",0.0,0.09090909090909093,0.0,39.99086662,-75.13088417,0,1,0.0,0.18181818181818185
68,"100 E LEHIGH AVE,PHILADELPHIA,PA,19125-1012",1.0,0.3666666666666667,1.2,39.99086662,-75.13088417,0,1,2.0,0.7333333333333334
69,"100 E UNION ST,POTTSVILLE,PA,17901-3519",0.12916666666666668,0.0,0.3864468864468864,40.68352596,-76.19304251,0,1,0.25833333333333336,0.0
70,"100 GRANT ST,SALISBURY,PA,15558",0.2,0.0,0.0,39.75272879999999,-79.08156687,0,1,0.4,0.0
71,"100 HIGHLANDS DR STE 304,LITITZ,PA,17543-7692",0.0,1.5,0.0,40.13678694,-76.30563555,0,1,0.0,3.0
72,"100 HIGHLANDS DR,LITITZ,PA,17543-7693",0.0,1.0,0.0,40.13678694,-76.30563555,0,1,0.0,2.0
73,"100 HOUSTON SQ STE 1A,CANONSBURG,PA,15317-1469",2.0,0.0,0.0,40.24481334,-80.19711828,0,1,4.0,0.0
74,"100 KENNEDY BLVD,PITTSTON,PA,18640-1835",0.3333333333333333,0.0,0.0,41.32411464,-75.79088591,0,1,0.6666666666666666,0.0
75,"100 MARIS GROVE WAY,GLEN MILLS,PA,19342-1282",0.5,0.0,0.0,39.87935053,-75.53079474,0,1,1.0,0.0
76,"100 MCKNIGHT PARK DR STE 102,PITTSBURGH,PA,15237-6519",1.0,0.0,0.0,40.53609024,-80.00852594,0,1,2.0,0.0
77,"100 MCKNIGHT PARK DR STE 106,PITTSBURGH,PA,15237-6519",0.1111111111111111,0.0,0.0,40.53609024,-80.00852594,0,1,0.2222222222222222,0.0
78,"100 N 3RD ST FL 2,EASTON,PA,18042-1869",2.033333333333333,0.16666666666666666,0.0,40.69342746,-75.2093602,0,1,4.066666666666666,0.3333333333333333
79,"100 N 3RD ST STE 200,EASTON,PA,18042-1833",0.5,0.0,0.0,40.69342746,-75.2093602,0,1,1.0,0.0
80,"100 N 3RD ST,EASTON,PA,18042",0.5833333333333333,0.3333333333333333,0.0,40.69342746,-75.2093602,0,1,1.1666666666666663,0.6666666666666666
81,"100 N 3RD ST,EASTON,PA,18042-1869",0.95,0.16666666666666666,0.0,40.69342746,-75.2093602,0,1,1.9,0.3333333333333333
82,"100 N ACADEMY AVE,DANVILLE,PA,17822-9800",9.566666666666666,1.5333333333333332,1.0,40.96979521,-76.60171314,0,1,19.133333333333333,3.0666666666666664
83,"100 N BUCKSTOWN RD STE 206,LANGHORNE,PA,19047-1875",0.13942307692307693,0.0,0.0,40.18719719,-74.87644725,0,1,0.27884615384615385,0.0
84,"100 N HANOVER ST,CARLISLE,PA,17013-2421",2.5,0.0,0.0,40.20318873,-77.18888595,0,1,5.0,0.0
85,"100 NORTHPOINTE CIR STE 204,SEVEN FIELDS,PA,16046-7851",0.3805555555555555,0.0,0.0,40.68357479,-80.06551751,0,1,0.7611111111111108,0.0
86,"100 NORTHPOINTE CIR,SEVEN FIELDS,PA,16046-7851",2.377020202020202,0.0,0.3333333333333333,40.68357479,-80.06551751,0,1,4.754040404040404,0.0
87,"100 PASSAVANT WAY,PITTSBURGH,PA,15238",1.3785714285714286,0.0,0.6583333333333333,40.54226452,-79.83779857,0,1,2.7571428571428567,0.0
88,"100 PASSAVANT WAY,PITTSBURGH,PA,15238-1318",2.4099206349206352,0.0,0.3828571428571429,40.54226452,-79.83779857,0,1,4.819841269841271,0.0
89,"100 PENNSYLVANIA AVE STE 5,IRWIN,PA,15642-3552",1.0,0.0,0.0,40.3380075,-79.71346391,0,1,2.0,0.0
90,"100 PORTER RD,POTTSTOWN,PA,19464-3240",1.0,0.0,0.0,40.24201786,-75.61014485,0,1,2.0,0.0
