idx,BOD_addr,general,pediatric,specialist,CensusCountyFips,Latitude,Longitude,hygienist_for_general,hygienist_for_pediatric
3458," 3614 CLEAR SPRINGS DR,-,-,BENSALEM,PENNSYLVANIA,19020",1.0,0.0,0.0,17.0,40.09664495,40.09664495,2.0,0.0
3459," 362 FREEPORT STREET,-,-,NEW KENSNGTON,PENNSYLVANIA,15068",1.0,0.0,0.0,129.0,40.55700673,40.55700673,2.0,0.0
3460," 3622 WEIGHTMAN ST,-,-,PHILADELPHIA,PENNSYLVANIA,19129",1.0,0.0,0.0,101.0,40.01406334,40.01406334,2.0,0.0
3461," 3625 ADA STREET,-,-,MUNHALL,PENNSYLVANIA,15120",0.0,0.0,1.0,3.0,40.3844773,40.3844773,0.0,0.0
3462," 3626 MCKEE ROAD,-,-,ERIE,PENNSYLVANIA,16506",1.0,0.0,0.0,49.0,42.06819644,42.06819644,2.0,0.0
3463," 363 HIGH STREET,-,-,SOUDERTON,PENNSYLVANIA,18964",1.0,0.0,0.0,91.0,40.31129369,40.31129369,2.0,0.0
3464," 363 MAIN ST,-,-,PROSPECT,PENNSYLVANIA,16052",1.0,0.0,0.0,19.0,40.90471028,40.90471028,2.0,0.0
3465," 3633 BELGRADE STREET,-,-,PHILADELPHIA,PENNSYLVANIA,19134",1.0,0.0,0.0,101.0,39.99145627,39.99145627,2.0,0.0
3466," 364 MILLER RD,-,-,WAVERLY TOWNSHIP,PENNSYLVANIA,18414",0.0,0.0,1.0,69.0,41.53641979,41.53641979,0.0,0.0
3467," 364 WEST SPRING AVENUE,-,-,ARDMORE,PENNSYLVANIA,19003",1.0,0.0,0.0,91.0,40.0095216,40.0095216,2.0,0.0
3468," 3641 ST LAWRENCE AVENUE,-,-,READING,PENNSYLVANIA,19606",1.0,0.0,0.0,11.0,40.325464399999994,40.325464399999994,2.0,0.0
3469," 365 HAMILTON DRIVE,-,-,HARLEYSVILLE,PENNSYLVANIA,19438",1.0,0.0,0.0,91.0,40.28278553,40.28278553,2.0,0.0
3470," 365 HOPEWELL ROAD,-,-,ELVERSON,PENNSYLVANIA,19520",1.0,0.0,0.0,29.0,40.20089404,40.20089404,2.0,0.0
3471," 365 LANCASTER AVENUE,-,-,FRAZER,PENNSYLVANIA,19355",1.0,0.0,0.0,29.0,40.03861157,40.03861157,2.0,0.0
3472," 3650 PERKIOMEN AVE,SUITE 300,-,READING,PENNSYLVANIA,19606",1.0,0.0,0.0,11.0,40.3181281,40.3181281,2.0,0.0
3473," 3655 ROUTE 202,GEORGETOWN CROSSING #210,-,DOYLESTOWN,PENNSYLVANIA,189026602",1.0,0.0,0.0,17.0,40.35306849,40.35306849,2.0,0.0
3474," 3655 ROUTE 202,SUITE 200,3655 ROUTE 202,DOYLESTOWN,PENNSYLVANIA,18902",0.0,1.0,0.0,17.0,40.35306849,40.35306849,0.0,2.0
3475," 367 KILBURN RD.,-,-,LANGHORNE,PENNSYLVANIA,19047",1.0,0.0,0.0,17.0,40.19985867,40.19985867,2.0,0.0
3476," 3675 E SWAMP RD,-,-,DOYLESTOWN,PENNSYLVANIA,18902",1.0,0.0,0.0,17.0,40.31957962,40.31957962,2.0,0.0
3477," 368 WEST BROAD STREET,APT C,-,TELFORD,PENNSYLVANIA,18969",1.0,0.0,0.0,91.0,40.32306438,40.32306438,2.0,0.0
3478," 3689 FIRE LANE,-,-,BETHLEHEM,PENNSYLVANIA,18015",1.0,0.0,0.0,95.0,40.58660485,40.58660485,2.0,0.0
3479," 369 3RD ST,-,-,NORTHUMBERLAND,PENNSYLVANIA,17857",0.0,1.0,0.0,97.0,40.89247334,40.89247334,0.0,2.0
3480," 37 CONSTITUTION DRIVE,-,-,CHADDS FORD,PENNSYLVANIA,19317",1.0,0.0,0.0,29.0,39.86735128,39.86735128,2.0,0.0
3481," 37 E. MADISON AVE.,APT. A,-,CLIFTON HEIGHTS,PENNSYLVANIA,19018",1.0,0.0,0.0,45.0,39.92731268,39.92731268,2.0,0.0
3482," 37 OLD FRIEDENSBURG RD,-,-,READING,PENNSYLVANIA,19606",1.0,0.0,0.0,11.0,40.35391525,40.35391525,2.0,0.0
3483," 37 PEARL STREET,-,-,PORT ALLEGANY,PENNSYLVANIA,16743",1.0,0.0,0.0,83.0,41.81526577,41.81526577,2.0,0.0
3484," 37 PEARL STREET,PO BOX 159,-,PORT ALLEGANY,PENNSYLVANIA,16743",1.0,0.0,0.0,83.0,41.81526577,41.81526577,2.0,0.0
3485," 37 STATE ROAD,APARTMENT B11,-,MEDIA,PENNSYLVANIA,19063",1.0,0.0,0.0,45.0,39.92182427,39.92182427,2.0,0.0
3486," 37 STEEPLEBUSH RD,-,-,LEVITTOWN,PENNSYLVANIA,19056",1.0,0.0,0.0,17.0,40.14929128,40.14929128,2.0,0.0
3487," 370 S NEGLEY AVE,APT 1,-,PITTSBURGH,PENNSYLVANIA,15232",1.0,0.0,0.0,3.0,40.4590488,40.4590488,2.0,0.0
3488," 3700 MARKET STREET,SUITE 101,-,PHILADELPHIA,PENNSYLVANIA,19104",3.0,0.0,0.0,101.0,39.95602870000001,39.95602870000001,6.0,0.0
3489," 3701 CHESTNUT ST.,APT. #404,-,PHILADELPHIA,PENNSYLVANIA,19104",1.0,0.0,0.0,101.0,39.95537884,39.95537884,2.0,0.0
3490," 3703 OLD FRENCH ROAD,-,-,ERIE,PENNSYLVANIA,16504",0.0,0.0,1.0,49.0,42.10487616,42.10487616,0.0,0.0
3491," 3703 WESTHAMPTON DRIVE,-,-,PHILADELPHIA,PENNSYLVANIA,19154",1.0,0.0,0.0,101.0,40.09478667,40.09478667,2.0,0.0
3492," 371 MARTIN ST,-,-,PHILADELPHIA,PENNSYLVANIA,19128",1.0,0.0,0.0,101.0,40.02947902,40.02947902,2.0,0.0
3493," 371 N LINCOLN AVE,2ND FLOOR,-,SCRANTON,PENNSYLVANIA,18504",1.0,0.0,0.0,69.0,41.418282700000006,41.418282700000006,2.0,0.0
3494," 371 NORTH 50TH STREET,-,-,HARRISBURG,PENNSYLVANIA,17111",1.0,0.0,0.0,43.0,40.26415673,40.26415673,2.0,0.0
3495," 3718 POWDER HORN DRIVE,-,-,FURLONG,PENNSYLVANIA,18925",1.0,0.0,0.0,17.0,40.29770078,40.29770078,2.0,0.0
3496," 372 SWOPES VALLEY ROAD,-,-,PINE GROVE,PENNSYLVANIA,17963",1.0,0.0,0.0,107.0,40.51651978,40.51651978,2.0,0.0
3497," 3721 LINDEN AVENUE,-,-,PITTSBURGH,PENNSYLVANIA,15234",1.0,0.0,0.0,3.0,40.3682521,40.3682521,2.0,0.0
3498," 3724 GEHMAN ROAD,-,-,MACUNGIE,PENNSYLVANIA,18062",1.0,0.0,0.0,77.0,40.50746392,40.50746392,2.0,0.0
3499," 3725 DEVONSHIRE PL,-,-,BENSALEM,PENNSYLVANIA,19020",1.0,0.0,0.0,17.0,40.12396514,40.12396514,2.0,0.0
3500," 3728 WINDY BUSH RD,-,-,NEW HOPE,PENNSYLVANIA,18938",0.0,0.0,1.0,17.0,40.35140552,40.35140552,0.0,0.0
3501," 3728 WINDY BUSH RD.,-,-,NEW HOPE,PENNSYLVANIA,18938",1.0,0.0,0.0,17.0,40.35140552,40.35140552,2.0,0.0
3502," 3736 PINE ROAD,-,-,HUNTINGDON VALLEY,PENNSYLVANIA,19006",1.0,0.0,0.0,91.0,40.13860247,40.13860247,2.0,0.0
3503," 3736 STERRETTANIA RD,-,-,ERIE,PENNSYLVANIA,16506",1.0,0.0,0.0,49.0,42.07461085,42.07461085,2.0,0.0
3504," 3737 CHESTNUT STREET,APT#708,-,PHILADELPHIA,PENNSYLVANIA,19104",0.0,0.0,1.0,101.0,39.95512239,39.95512239,0.0,0.0
3505," 3737 MARKET STREET,SUITE 1000,-,PHILADELPHIA,PENNSYLVANIA,19104",1.0,0.0,0.0,101.0,39.95659845,39.95659845,2.0,0.0
3506," 3739 BATH PIKE,-,-,BETHLEHEM,PENNSYLVANIA,18017",1.0,0.0,0.0,95.0,40.66681661,40.66681661,2.0,0.0
3507," 375 CROOKED CREEK ROAD,-,-,GETTYSBURG,PENNSYLVANIA,17325",1.0,0.0,0.0,1.0,39.868220799999996,39.868220799999996,2.0,0.0
3508," 375 EMERY ROAD,-,-,MIFFLINBURG,PENNSYLVANIA,17844",1.0,0.0,0.0,119.0,40.94659456,40.94659456,2.0,0.0
3509," 3757 LIBRARY RD STE 100,-,-,PITTSBURGH,PENNSYLVANIA,15234",1.0,0.0,0.0,3.0,40.363903799999996,40.363903799999996,2.0,0.0
