IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,hygienist_for_general_med,hygienist_for_general_chip,hygienist_for_pediatric_med,hygienist_for_pediatric_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"1590 WYOMING AVE,KINGSTON,PA,18704-4226",0.3333333333333333,,0.0,,0.0,,0.6666666666666666,,0.0,,41.29244635,-75.86720461,,,1.0,0.0,,
"160 E ERIE AVE # N1-08,PHILADELPHIA,PA,19134-1011",0.25,,1.75,,0.525,,0.5,,3.5,,40.0074756,-75.12556339,,,1.0,0.0,,
"1600 BLACK ROCK RD,ROYERSFORD,PA,19468-3147",0.25,,0.0,,0.0,,0.5,,0.0,,40.16364984,-75.50753584,,,1.0,0.0,,
"1600 E HIGH ST,POTTSTOWN,PA,19464-5008",0.0,,0.0,,1.0,,0.0,,0.0,,40.24392468,-75.6134392,,,1.0,0.0,,
"1601 WALNUT ST STE 300,PHILADELPHIA,PA,19102-2902",0.0,,0.0,,0.05882352941176471,,0.0,,0.0,,39.9497894,-75.16773062,,,1.0,0.0,,
"1612 N 2ND ST,HARRISBURG,PA,17102-2438",1.0,,0.0,,0.0,,2.0,,0.0,,40.27224315,-76.89420974,,,1.0,0.0,,
"17 ARENTZEN BLVD,CHARLEROI,PA,15022-1085",0.0,,0.0,,0.3333333333333333,,0.0,,0.0,,40.12454063,-79.88608149999997,,,1.0,0.0,,
"170 JAMISON LN,MONROEVILLE,PA,15146-2327",0.5,,0.0,,0.0,,1.0,,0.0,,40.42711574,-79.7873245,,,1.0,0.0,,
"1717 SKYLINE DR,PITTSBURGH,PA,15227-1744",1.0,,0.0,,0.0,,2.0,,0.0,,40.36626837,-79.96257257,,,1.0,0.0,,
"1720 WASHINGTON RD,PITTSBURGH,PA,15241-1208",0.0,,0.0,,0.07142857142857142,,0.0,,0.0,,40.34758118,-80.05385417,,,1.0,0.0,,
"1725 WASHINGTON RD,PITTSBURGH,PA,15241-1207",0.0,,0.0,,1.0,,0.0,,0.0,,40.3475638,-80.05376039,,,1.0,0.0,,
"175 E BROWN ST STE 112,E STROUDSBURG,PA,18301-3098",0.3333333333333333,,0.0,,0.0,,0.6666666666666666,,0.0,,40.99213064,-75.17506786,,,1.0,0.0,,
"175 E BROWN ST STE 112,EAST STROUDSBURG,PA,18301-3098",0.3333333333333333,,0.0,,0.0,,0.6666666666666666,,0.0,,40.99213064,-75.17506786,,,1.0,0.0,,
"175 E BROWN ST STE 201B,E STROUDSBURG,PA,18301-3098",0.0,,0.0,,1.0,,0.0,,0.0,,40.99213064,-75.17506786,,,1.0,0.0,,
"1750 S EASTON RD,DOYLESTOWN,PA,18901-2885",0.5,,0.0,,0.0,,1.0,,0.0,,40.27671778,-75.12735343,,,1.0,0.0,,
"180 IMPERIAL PLAZA DR,IMPERIAL,PA,15126-9331",0.0,,0.0,,1.0,,0.0,,0.0,,40.44196754,-80.23577491,,,1.0,0.0,,
"1800 SULLIVAN TRL STE 102,EASTON,PA,18040-8397",0.0,,0.2361111111111111,,0.05263157894736842,,0.0,,0.4722222222222222,,40.71740122,-75.22160915,,,1.0,0.0,,
"1827 W CHELTENHAM AVE,ELKINS PARK,PA,19027-1049",1.0,,0.0,,0.0,,2.0,,0.0,,40.06742552,-75.14647053,,,1.0,0.0,,
"183 LANCASTER AVE FL 1,MALVERN,PA,19355-2122",1.0,,0.0,,0.0,,2.0,,0.0,,40.04149619,-75.53697691,,,1.0,0.0,,
"1854 WAYNE RD,CHAMBERSBURG,PA,17202-8836",1.5,,0.0,,0.0,,3.0,,0.0,,39.90519558,-77.64550874,,,1.0,0.0,,
"190 W PARK AVE,DU BOIS,PA,15801-2277",0.0,,0.0,,1.0,,0.0,,0.0,,41.12155084,-78.76304064,,,1.0,0.0,,
"1900 E MARKET ST,YORK,PA,17402-2890",1.0,,0.0,,0.0,,2.0,,0.0,,39.97333454,-76.68964802,,,1.0,0.0,,
"1929 LINCOLN HWY E STE 100,LANCASTER,PA,17602-3347",0.8333333333333333,,1.0,,0.0,,1.6666666666666663,,2.0,,40.03356223,-76.24789733,,,1.0,0.0,,
"1929 LINCOLN HWY E STE 150,LANCASTER,PA,17602-3685",0.8333333333333333,,0.0,,0.0,,1.6666666666666663,,0.0,,40.03356223,-76.24789733,,,1.0,0.0,,
