id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
1400000US20013480700,,"Census Tract 4807, Brown County, Kansas",27,9,8,31,46,11,0,0,32,13,84,14,340,93,0,21,31,14,10,0,41,10,3,92,25,302,113,0,11,0,31,10,15,0,30,13,0,79,389.5,161.3,72.2,294,917,
1400000US20013480800,,"Census Tract 4808, Brown County, Kansas",14,19,19,8,12,9,5,6,68,30,4,2,274,26,37,17,9,16,15,9,20,39,56,12,18,270,16,11,8,17,30,15,23,12,34,30,41,33,230,199.4,200.6,110,740,
1400000US20015020100,,"Census Tract 201, Butler County, Kansas",30,0,36,28,1,8,4,12,70,71,21,17,466,29,0,48,43,9,22,0,12,132,97,58,16,381,19,0,26,1,7,22,0,12,160,53,28,53,268.5,245.3,438.2,193,1145,
1400000US20015020201,,"Census Tract 202.01, Butler County, Kansas",0,0,52,0,0,93,0,0,148,82,0,42,609,0,0,0,0,0,191,0,16,178,164,43,17,549,0,0,57,0,46,0,0,15,99,108,80,144,132,508,609,326,1575,
1400000US20015020202,,"Census Tract 202.02, Butler County, Kansas",0,0,0,16,15,0,13,15,200,220,141,59,658,0,14,0,31,30,14,14,32,109,112,119,183,1149,21,14,0,0,29,136,43,0,172,245,336,153,133,496.4,865.6,991,2486,
1400000US20015020203,,"Census Tract 202.03, Butler County, Kansas",45,17,22,0,18,102,0,18,105,68,118,75,669,0,0,46,0,10,55,0,0,107,108,113,230,952,110,44,0,0,0,78,0,0,135,215,105,265,298,405.8,599.2,906,2209,
1400000US20015020300,,"Census Tract 203, Butler County, Kansas",0,0,20,32,14,0,21,0,81,93,12,19,270,0,29,23,15,0,0,0,0,103,42,23,35,313,10,8,15,0,0,0,0,50,69,41,32,88,159,179.2,327.8,209,875,
1400000US20015020400,,"Census Tract 204, Butler County, Kansas",0,0,0,0,85,0,30,10,21,8,0,0,109,0,0,0,11,35,33,0,0,0,19,0,11,210,0,18,9,13,10,71,0,0,62,11,16,0,116,242.2,87.8,27,473,
1400000US20015020500,,"Census Tract 205, Butler County, Kansas",42,21,0,20,0,0,24,0,56,134,35,0,707,148,204,0,40,0,43,0,22,16,159,55,20,405,58,67,0,43,0,0,30,0,0,137,50,20,643,147.8,473.2,180,1444,
1400000US20015020600,,"Census Tract 206, Butler County, Kansas",3,3,86,21,102,26,15,2,89,49,81,14,708,73,34,78,78,94,42,10,9,56,80,31,123,986,29,20,89,48,81,36,19,11,81,157,136,279,700.5,398.9,421.6,664,2185,
1400000US20015020700,,"Census Tract 207, Butler County, Kansas",32,0,25,36,28,19,55,0,61,47,19,10,318,30,20,54,19,29,10,17,20,17,54,18,30,439,16,11,87,0,15,27,12,0,16,74,136,45,366,233.6,231.4,258,1089,
1400000US20015020800,,"Census Tract 208, Butler County, Kansas",36,24,9,85,10,9,0,13,21,18,0,0,208,23,82,0,0,69,5,0,0,22,7,0,0,156,0,3,0,0,27,5,0,0,82,31,0,8,315,135,131,8,589,
1400000US20015020901,,"Census Tract 209.01, Butler County, Kansas",0,0,144,18,58,0,0,0,78,15,47,20,261,0,0,78,0,95,0,0,7,25,0,32,24,317,29,0,0,0,95,0,0,8,15,44,35,91,393,186.2,129.8,249,958,
1400000US20015020902,,"Census Tract 209.02, Butler County, Kansas",0,0,0,13,61,0,0,17,61,88,12,32,285,0,0,0,35,0,0,0,0,86,72,43,49,514,16,16,22,0,8,0,0,0,134,99,137,82,136.5,163.9,427.6,355,1083,
1400000US20015020903,,"Census Tract 209.03, Butler County, Kansas",4,11,0,15,0,7,24,0,31,55,0,37,348,4,14,22,39,0,8,29,26,63,76,4,63,281,0,0,15,13,0,16,4,13,71,62,22,65,137,193,292,191,813,
1400000US20017960600,,"Census Tract 9606, Chase County, Kansas",24,0,18,14,12,13,2,10,26,47,12,5,238,56,0,0,16,3,44,0,0,72,22,0,25,196,8,0,0,0,12,34,0,0,39,95,8,0,149.5,171.3,246.2,50,617,
1400000US20019964600,,"Census Tract 9646, Chautauqua County, Kansas",7,8,31,25,18,26,16,24,29,26,0,9,235,35,7,22,19,25,45,10,24,24,11,12,1,249,15,13,54,14,20,12,6,0,40,36,39,0,281.5,231.7,128.8,61,703,
1400000US20021958100,,"Census Tract 9581, Cherokee County, Kansas",5,19,9,1,31,9,0,3,10,9,17,22,160,7,30,24,4,74,3,0,2,0,14,2,0,190,31,68,18,15,20,0,3,0,14,9,2,10,293.5,92.1,46.4,53,485,
1400000US20021958200,,"Census Tract 9582, Cherokee County, Kansas",3,0,0,45,0,9,0,10,14,25,2,0,137,3,0,0,25,2,12,0,12,6,45,20,12,176,5,0,0,45,9,0,0,0,44,38,20,15,131.5,74.1,146.4,69,421,
1400000US20021958300,,"Census Tract 9583, Cherokee County, Kansas",0,0,0,18,128,47,0,0,91,70,7,0,279,28,17,6,37,35,24,0,0,67,65,0,0,326,0,17,29,0,0,12,0,8,102,113,28,17,233.5,276.5,404,52,966,
1400000US20021958400,,"Census Tract 9584, Cherokee County, Kansas",0,37,52,109,9,10,0,0,29,87,15,23,331,0,48,0,85,14,15,0,0,58,92,8,11,228,33,27,0,45,14,0,0,0,33,24,8,44,454.5,91.5,275,109,930,
1400000US20021958500,,"Census Tract 9585, Cherokee County, Kansas",44,13,16,33,0,0,0,0,51,53,0,0,288,36,44,18,102,0,5,0,0,33,38,0,12,231,18,0,31,0,0,10,0,9,63,39,61,0,355,82.8,218.2,73,729,
1400000US20021958600,,"Census Tract 9586, Cherokee County, Kansas",30,27,0,4,62,28,29,0,52,14,31,13,337,34,0,42,31,9,18,0,22,87,43,39,12,634,13,0,49,37,62,29,0,17,121,136,44,126,333.5,313.5,349,265,1261,
1400000US20023950200,,"Census Tract 9502, Cheyenne County, Kansas",14,3,2,2,5,11,0,0,52,50,31,6,195,6,5,0,29,26,6,0,4,48,46,2,23,187,10,7,0,47,6,14,0,0,54,20,22,7,143.5,115.1,208.4,91,558,
1400000US20025967100,,"Census Tract 9671, Clark County, Kansas",23,2,3,2,27,3,4,0,42,58,4,0,173,2,15,10,49,18,7,4,0,40,18,5,5,165,8,8,18,19,4,14,12,0,27,30,5,20,183.5,112.1,171.4,39,506,
1400000US20027458100,,"Census Tract 4581, Clay County, Kansas",8,0,16,12,18,26,3,17,41,49,22,31,240,4,0,0,14,5,31,7,44,36,23,62,14,318,42,0,11,3,8,24,13,11,61,15,85,45,125.5,246.7,169.8,259,801,
1400000US20027458200,,"Census Tract 4582, Clay County, Kansas",0,0,39,31,0,0,16,0,90,137,0,0,541,8,0,19,22,0,54,24,0,194,58,27,135,315,0,0,0,51,0,0,0,0,140,0,29,95,170,263.6,449.4,286,1169,
1400000US20029977100,,"Census Tract 9771, Cloud County, Kansas",21,10,9,31,16,16,24,1,15,12,3,3,173,5,4,25,10,8,17,15,0,25,21,40,3,161,9,0,18,41,5,0,4,2,39,11,3,29,197.5,125.1,91.4,81,495,
1400000US20029977200,,"Census Tract 9772, Cloud County, Kansas",47,0,0,11,51,8,0,0,36,44,0,19,222,0,7,0,0,124,11,0,0,19,38,13,10,221,0,48,0,0,18,40,0,0,56,32,27,0,209.5,199.9,180.6,69,659,
1400000US20029977300,,"Census Tract 9773, Cloud County, Kansas",0,9,0,29,28,16,0,0,59,19,41,5,194,13,0,0,12,12,72,0,0,54,8,9,14,178,6,0,0,15,28,36,7,0,20,5,22,39,118,218.2,111.8,130,578,
1400000US20029977400,,"Census Tract 9774, Cloud County, Kansas",0,0,5,19,6,3,0,0,14,14,0,17,62,0,0,0,23,0,7,0,0,3,24,0,5,96,4,5,2,10,0,0,0,4,28,5,0,38,71,35,70,60,236,
1400000US20031966100,,"Census Tract 9661, Coffey County, Kansas",11,15,6,15,0,19,0,8,9,35,14,17,195,29,7,5,7,5,0,21,9,31,31,35,15,246,37,0,0,2,0,2,21,48,36,15,60,25,136.5,160.9,126.6,166,590,
1400000US20031966200,,"Census Tract 9662, Coffey County, Kansas",3,0,30,12,4,13,2,2,57,20,8,22,182,0,2,19,6,7,8,4,3,35,28,34,36,226,8,0,12,2,16,10,1,9,44,34,32,58,107.5,119.9,163.6,190,581,
1400000US20031966300,,"Census Tract 9663, Coffey County, Kansas",32,5,2,0,3,26,9,0,66,37,12,7,208,10,28,24,4,0,11,0,0,67,39,12,13,197,10,0,3,3,0,19,10,0,50,31,36,35,122.5,149.7,216.8,115,604,
1400000US20033967600,,"Census Tract 9676, Comanche County, Kansas",2,0,4,0,2,4,0,6,70,0,8,8,121,1,4,9,4,3,0,2,0,56,11,15,16,165,5,0,0,0,4,5,3,3,56,51,24,14,33.5,100.3,171.2,85,390,
1400000US20035493100,,"Census Tract 4931, Cowley County, Kansas",32,20,13,19,7,11,25,2,38,49,0,26,196,12,21,2,9,17,6,24,14,34,45,5,7,221,0,15,18,21,22,3,2,11,42,41,16,30,205,166.6,203.4,84,659,
1400000US20035493200,,"Census Tract 4932, Cowley County, Kansas",8,5,0,0,19,15,0,18,27,15,4,0,280,9,2,6,37,37,26,0,31,36,31,38,27,355,10,0,0,63,42,16,0,16,78,32,54,44,189,227.4,162.6,167,746,
1400000US20035493300,,"Census Tract 4933, Cowley County, Kansas",0,0,0,0,0,0,0,0,8,22,46,15,92,0,0,0,0,0,0,0,0,13,39,23,17,216,0,0,0,0,0,0,0,32,0,77,0,107,0,40.4,150.6,208,399,
