IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,Y_med,X_med,Y_chip,X_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"10903 DOUGLAS DR N,CHAMPLIN,MN,55316-3554",0.3333333333333333,0.3333333333333333,0.0,0.0,0.5,0.5,45.15224399,-93.36079943,45.15224399,-93.36079943,1,0,0,1
"10904 BALTIMORE ST NE STE 100,BLAINE,MN,55449-5062",1.0,1.0,0.0,0.0,0.0,0.0,45.16871436,-93.23327097,45.16871436,-93.23327097,1,0,0,1
"10906 S SHORE DR,MINNEAPOLIS,MN,55441",1.0,1.0,0.0,0.0,0.0,0.0,44.98900522,-93.41876086,44.98900522,-93.41876086,1,0,0,1
"10906 S SHORE DR,PLYMOUTH,MN,55441-4919",2.0,2.0,0.0,0.0,0.0,0.0,44.98900522,-93.41876086,44.98900522,-93.41876086,1,0,0,1
"10945 CLUB WEST PKWY STE 170,BLAINE,MN,55449-6273",0.0,0.0,0.0,0.0,1.0,1.0,45.16865408,-93.22982309,45.16865408,-93.22982309,1,0,0,1
"1095 HIGHWAY 15 S,HUTCHINSON,MN,55350-5000",0.0,0.0,0.0,0.0,0.20535714285714285,0.2337662337662338,44.87566792,-94.37550426,44.87566792,-94.37550426,1,0,0,1
"10961 CLUB WEST PKWY NE,MINNEAPOLIS,MN,55449",1.5,1.5,0.0,0.0,0.0,0.0,45.16893235,-93.22983454,45.16893235,-93.22983454,1,0,0,1
"10961 CLUB WEST PKWY STE 240,BLAINE,MN,55449-5869",2.5,2.5,0.0,0.0,0.0,0.0,45.16893235,-93.22983454,45.16893235,-93.22983454,1,0,0,1
"10976 CEDAR LAKE RD,HOPKINS,MN,55305",0.3333333333333333,0.5,0.0,0.0,0.0,0.0,44.95300918,-93.41595787,44.95300918,-93.41595787,1,0,0,1
"10976 CEDAR LAKE RD,MINNETONKA,MN,55305-3366",0.6666666666666666,0.5,0.0,0.0,0.0,0.0,44.95300918,-93.41595787,44.95300918,-93.41595787,1,0,0,1
"1098 ANDERSEN LN,MINNEAPOLIS,MN,55407-1109",0.02288365439386878,0.022965840545502228,0.0,0.0,0.0,0.0,44.95286673,-93.25890423,44.95286673,-93.25890423,1,0,0,1
"1099 E MOORE LAKE DR,MINNEAPOLIS,MN,55432",0.25,0.3333333333333333,0.0,0.0,0.0,0.0,45.08068592,-93.24161916,45.08068592,-93.24161916,1,0,0,1
