id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
1400000US31023967800,,"Census Tract 9678, Butler County, Nebraska",13,0,0,9,27,0,0,0,50,7,11,5,106,2,0,0,8,4,5,0,1,50,5,25,6,219,7,0,0,14,7,4,0,3,97,11,47,29,72,71.4,180.6,123,447,
1400000US31025965600,,"Census Tract 9656, Cass County, Nebraska",0,0,33,20,25,9,38,0,35,17,22,23,280,0,22,0,0,28,0,76,0,78,27,20,29,217,0,0,0,0,0,0,45,0,26,29,100,17,101.5,222.3,184.2,211,719,
1400000US31025965700,,"Census Tract 9657, Cass County, Nebraska",12,0,13,44,4,71,0,0,55,55,47,218,369,4,8,52,11,29,28,0,4,38,56,61,78,388,6,0,37,0,4,17,0,3,61,53,117,90,205.5,172.3,287.2,611,1276,
1400000US31025965800,,"Census Tract 9658, Cass County, Nebraska",4,0,5,2,2,3,2,0,27,47,46,54,191,0,1,7,8,12,0,0,1,34,42,29,57,245,5,2,4,2,10,0,0,0,64,47,68,43,52,43,236,297,628,
1400000US31025965900,,"Census Tract 9659, Cass County, Nebraska",2,5,0,10,5,41,9,0,76,117,58,130,370,5,0,10,0,5,41,16,0,108,90,33,62,406,6,0,7,0,5,17,3,6,162,53,55,92,52.5,209.7,536.8,430,1229,
1400000US31025966000,,"Census Tract 9660, Cass County, Nebraska",7,1,0,5,21,4,0,0,37,71,19,35,290,2,2,0,6,2,4,0,0,90,24,33,127,521,22,0,0,2,2,11,35,0,181,101,92,75,59.5,128.1,442.4,381,1011,
1400000US31025966100,,"Census Tract 9661, Cass County, Nebraska",20,32,0,44,11,9,66,37,110,85,11,11,390,26,26,0,38,72,23,32,16,94,41,0,22,411,14,19,0,72,57,16,12,8,83,91,39,0,361,346.4,446.6,83,1237,
1400000US31027977100,,"Census Tract 9771, Cedar County, Nebraska",33,2,43,10,3,4,15,9,135,58,15,31,340,11,1,25,16,3,8,0,11,124,115,12,14,407,39,1,12,3,0,27,2,16,94,101,79,33,199,165.6,556.4,184,1105,
1400000US31027977200,,"Census Tract 9772, Cedar County, Nebraska",8,10,9,5,17,26,4,22,139,40,31,31,354,12,9,3,0,16,37,18,17,117,63,8,54,313,20,5,11,5,9,20,5,1,105,60,24,48,118,243.2,451.8,196,1009,
1400000US31029961900,,"Census Tract 9619, Chase County, Nebraska",0,0,0,0,0,8,16,0,94,13,27,27,314,0,0,29,27,11,21,8,23,97,47,35,16,300,21,0,15,21,19,2,2,15,64,55,32,54,128,161,319,191,799,
