id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
1400000US18003980001,,"Census Tract 9800.01, Allen County, Indiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1400000US18003980002,,"Census Tract 9800.02, Allen County, Indiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1400000US18005010100,,"Census Tract 101, Bartholomew County, Indiana",55,129,0,40,42,59,0,0,25,74,24,0,228,0,27,8,13,18,32,0,0,130,0,0,0,107,0,0,0,0,0,18,0,0,89,0,0,0,400.125,192.155,166.72,24,783,
1400000US18005010200,,"Census Tract 102, Bartholomew County, Indiana",13,0,35,0,0,87,0,0,51,57,24,25,413,42,0,72,0,0,88,21,0,63,14,40,73,366,45,0,15,19,0,10,10,7,30,114,4,112,356.625,196.655,239.72,278,1071,
1400000US18005010300,,"Census Tract 103, Bartholomew County, Indiana",0,0,0,13,0,0,0,0,33,38,0,62,290,0,0,0,27,0,0,0,27,20,89,50,77,486,1,12,0,0,0,10,33,0,55,107,104,164,59.25,130.71,275.04,457,922,
1400000US18005010400,,"Census Tract 104, Bartholomew County, Indiana",161,21,0,78,0,0,0,33,87,142,52,152,800,208,53,0,106,41,0,84,0,9,126,115,58,406,30,25,13,26,0,0,0,0,31,14,110,157,762,195.74,330.26,644,1932,
1400000US18005010500,,"Census Tract 105, Bartholomew County, Indiana",15,59,0,0,0,0,0,0,61,80,22,41,407,0,113,0,0,0,0,0,0,96,126,19,53,365,41,0,0,0,0,33,0,0,126,28,49,88,248.625,187.835,341.54,272,1050,
1400000US18005010600,,"Census Tract 106, Bartholomew County, Indiana",87,139,0,0,68,18,21,0,34,55,37,88,298,25,143,0,15,0,10,0,0,0,92,0,13,198,0,47,0,28,0,0,0,39,37,32,0,15,569.5,114.52,205.98,153,1043,
1400000US18005010700,,"Census Tract 107, Bartholomew County, Indiana",0,0,0,0,8,87,0,0,49,55,57,29,169,0,0,0,26,18,22,0,0,76,21,6,0,100,0,0,0,0,11,24,27,0,38,0,0,0,146.125,177.935,137.94,92,554,
1400000US18005010800,,"Census Tract 108, Bartholomew County, Indiana",5,0,96,73,0,53,14,0,47,19,0,7,340,43,40,0,58,0,120,7,0,47,0,8,17,264,33,6,66,62,0,19,0,26,35,9,8,0,602,198.98,77.02,40,918,
1400000US18005010900,,"Census Tract 109, Bartholomew County, Indiana",41,0,0,0,0,70,0,21,0,38,51,190,548,21,0,0,0,0,0,21,0,47,10,160,289,417,0,0,0,0,0,0,42,0,59,17,127,172,105.75,175.97,105.28,989,1376,
1400000US18005011000,,"Census Tract 110, Bartholomew County, Indiana",48,0,21,16,30,42,0,34,88,36,21,108,331,62,6,0,0,0,23,0,0,30,60,40,110,578,56,0,0,0,0,49,0,0,48,234,56,135,310.25,179.67,393.08,470,1353,
1400000US18005011100,,"Census Tract 111, Bartholomew County, Indiana",70,19,38,55,54,0,46,25,60,131,57,13,1145,98,165,167,15,105,0,85,0,237,110,152,11,638,43,110,39,21,44,0,0,29,119,164,28,41,1043,442.92,563.08,302,2351,
1400000US18005011200,,"Census Tract 112, Bartholomew County, Indiana",0,5,8,4,4,12,29,36,173,42,7,10,391,11,2,12,7,26,20,36,23,190,24,25,15,483,20,2,0,33,53,58,7,7,68,69,146,20,243.25,438.97,298.78,223,1204,
1400000US18005011300,,"Census Tract 113, Bartholomew County, Indiana",53,37,27,12,82,11,44,0,43,107,18,30,526,19,0,9,11,70,93,38,32,55,77,51,71,449,23,0,0,0,0,45,10,87,45,78,13,148,436.125,355.535,316.34,331,1439,
