,id,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
571,1400000US40017300600,"Census Tract 3006, Canadian County, Oklahoma",0,0,0,0,0,0,0,0,78,37,24,21,283,0,0,13,0,0,0,8,0,62,146,13,41,212,0,0,0,0,0,27,0,0,36,65,55,29,13,52.6,406.4,183,655,
572,1400000US40017300700,"Census Tract 3007, Canadian County, Oklahoma",0,0,25,54,23,15,0,22,48,47,43,67,458,33,0,11,7,10,18,6,22,123,128,26,74,395,8,0,20,29,40,11,5,0,108,99,27,48,260,126.9,525.1,285,1197,
573,1400000US40017300801,"Census Tract 3008.01, Canadian County, Oklahoma",18,0,0,29,0,177,15,77,259,278,112,410,1336,0,0,0,40,39,48,0,91,260,270,243,345,1524,0,0,44,10,111,0,30,129,155,539,176,330,291,634.4,1693.6,1616,4235,
576,1400000US40017300802,"Census Tract 3008.02, Canadian County, Oklahoma",0,0,0,0,7,0,0,0,40,0,74,75,190,0,0,0,0,0,0,3,18,17,0,97,55,183,0,0,0,0,21,0,6,0,39,8,53,56,28,36.6,94.4,410,569,
582,1400000US40017300901,"Census Tract 3009.01, Canadian County, Oklahoma",0,0,31,0,45,24,10,19,161,163,62,116,548,0,0,0,0,59,0,32,53,150,105,93,56,452,0,0,24,0,177,0,0,0,104,76,13,58,336,179.5,717.5,398,1631,
574,1400000US40017300902,"Census Tract 3009.02, Canadian County, Oklahoma",0,0,5,0,66,5,9,5,91,53,6,6,213,0,0,12,7,25,11,23,9,67,39,20,0,297,0,0,0,19,21,0,0,21,111,22,64,39,155,109.9,356.1,135,756,
296,1400000US40017300904,"Census Tract 3009.04, Canadian County, Oklahoma",0,26,54,39,193,0,7,19,23,0,12,5,303,19,0,63,15,33,0,37,0,48,55,6,27,299,45,9,90,10,7,6,28,30,35,15,0,24,603,137.6,165.4,74,980,
297,1400000US40017300905,"Census Tract 3009.05, Canadian County, Oklahoma",19,0,23,0,0,5,25,0,168,62,63,92,585,0,0,0,0,36,5,63,0,146,83,60,192,431,14,0,32,0,0,16,0,12,62,75,26,194,124,163.6,558.4,627,1473,
566,1400000US40017301001,"Census Tract 3010.01, Canadian County, Oklahoma",16,0,0,0,0,0,0,22,0,0,14,4,64,0,0,0,0,0,0,0,0,10,34,5,15,64,0,0,0,32,0,0,0,0,5,17,10,0,48,23.5,64.5,48,184,
584,1400000US40017301003,"Census Tract 3010.03, Canadian County, Oklahoma",12,0,15,0,0,59,0,13,83,137,60,102,469,26,0,18,23,36,37,0,28,133,72,54,42,374,46,15,18,0,0,15,5,11,63,89,29,83,209,195.9,549.1,370,1324,
