idx,IKN_addr,general,hygienist,pediatric,specialist,X,Y,med_indicator,chip_indicator,hygienist_for_general,hygienist_for_pediatric
440,"2099 W US HIGHWAY 50 STE 180,PUEBLO,CO,81008-1673",0.0,2.0,0.0,0.0,38.3102853,-104.6346889,1,0,0.0,0.0
441,"21 KINGS CROSSING RD,WINTER PARK,CO,80482",2.0,0.0,0.0,0.0,39.92704019,-105.78863229999999,1,0,4.0,0.0
442,"2105 BIGHORN RD STE 202,FORT COLLINS,CO,80525-3575",0.0,0.0,2.0,0.0,40.53539047,-105.03877050000001,1,0,0.0,4.0
443,"2111 CHAMPA ST,DENVER,CO,80205-2529",4.904761904761905,4.266666666666668,0.0,0.0,39.7514477,-104.9875987,1,0,9.80952380952381,0.0
445,"2121 MIDPOINT DR STE 102,FORT COLLINS,CO,80525-4340",0.16666666666666666,0.0,2.5,0.0,40.56565847,-105.03868390000001,1,0,0.3333333333333333,5.0
446,"2124 FREEDOM RD,TRINIDAD,CO,81082-1210",2.0,0.0,0.0,0.0,37.18770023,-104.4975583,1,0,4.0,0.0
447,"2130 BLACK DUCK AVE,JOHNSTOWN,CO,80534-9286",0.0,0.5,0.0,0.0,40.30316941,-104.9110696,1,0,0.0,0.0
448,"2130 STOUT ST,DENVER,CO,80205-2827",2.702380952380953,2.1333333333333333,0.0,0.0,39.75106919,-104.986263,1,0,5.404761904761906,0.0
449,"2131 S CHAMBERS RD,AURORA,CO,80014-4503",5.5,0.0,0.0,0.0,39.67767,-104.8100462,1,0,11.0,0.0
450,"2155 HOLLOW BROOK DR STE 20,COLORADO SPRINGS,CO,80918-1455",1.0,0.0,0.0,0.0,38.92057712,-104.78582829999999,1,0,2.0,0.0
451,"2155 RESORT DR,STEAMBOAT SPRINGS,CO,80487-8808",0.0,1.0,0.0,0.0,40.45925197,-106.8180977,1,0,0.0,0.0
452,"216 VICTORIA AVE,ALAMOSA,CO,81101-2210",1.0333333333333332,0.0,0.2,0.3844827586206897,37.47437606,-105.88773859999999,1,0,2.0666666666666664,0.4
453,"217 W MAIN ST,CORTEZ,CO,81321-3135",1.0,0.0,0.0,0.0,37.34855849,-108.588303,1,0,2.0,0.0
454,"2190 ACADEMY CIR,COLORADO SPRINGS,CO,80909-1659",1.7,0.0,0.0,0.0,38.86416961,-104.7554241,1,0,3.4,0.0
455,"2190 E 17TH AVE,DENVER,CO,80206-1126",0.16666666666666666,0.0,0.0,0.0,39.74319054,-104.96123130000001,1,0,0.3333333333333333,0.0
456,"220 E ROGERS RD,LONGMONT,CO,80501-6027",2.1909644878685124,0.18181818181818185,0.2060897435897436,0.0,40.16239091,-105.0872004,1,0,4.381928975737025,0.4121794871794872
457,"220 S WORTH ST,CENTER,CO,81125",0.7588235294117647,0.0,0.0,0.0,37.75423514,-106.1083205,1,0,1.5176470588235293,0.0
458,"2200 E 104TH AVE STE 112,THORNTON,CO,80233-4402",1.7769230769230768,0.0,0.0,0.3333333333333333,39.8849415,-104.959854,1,0,3.5538461538461537,0.0
459,"2200 E 104TH AVE STE 116,THORNTON,CO,80233-4402",0.0,0.0,0.0,1.3166666666666669,39.8849415,-104.959854,1,0,0.0,0.0
460,"2200 MOUNTAIN VIEW AVE,LONGMONT,CO,80501-3114",0.5,0.0,0.0,0.0,40.18134445,-105.1299717,1,0,1.0,0.0
461,"2205 W 136TH AVE STE 106-159,BROOMFIELD,CO,80023-9306",0.0,1.0,0.0,0.0,39.94328054,-105.01362,1,0,0.0,0.0
462,"2208 THATCHER AVE,PUEBLO,CO,81004-1324",1.0,0.0,0.0,0.0,38.25867367,-104.6374637,1,0,2.0,0.0
463,"2210 S FEDERAL BLVD UNIT 1,DENVER,CO,80219-5483",0.0,0.0,0.0,1.3166666666666669,39.67646366,-105.02501480000001,1,0,0.0,0.0
465,"2222 N NEVADA AVE STE 5009,COLORADO SPRINGS,CO,80907-6833",0.0,0.0,0.0,0.7833333333333333,38.86552374,-104.8201672,1,0,0.0,0.0
466,"2223 S MONACO PKWY STE F,DENVER,CO,80222-5893",3.6666666666666665,0.0,0.0,1.75,39.675553799999996,-104.91298970000001,1,0,7.333333333333333,0.0
467,"2226 S FRASER ST UNIT 1,AURORA,CO,80014-4534",1.0,0.0,0.0,0.0,39.67610123,-104.8121568,1,0,2.0,0.0
468,"223 HARRISON AVE,LEADVILLE,CO,80461-3392",1.3745421245421243,0.5714285714285714,0.0,0.16666666666666666,39.24549077,-106.29074640000002,1,0,2.7490842490842486,0.0
469,"225 S UNION BLVD STE 1,COLORADO SPRINGS,CO,80910-3186",0.16666666666666666,1.4337662337662338,0.0,0.0,38.82837707,-104.7949368,1,0,0.3333333333333333,0.0
