,id,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
89,1400000US33007950900,"Census Tract 9509, Coos County, New Hampshire",0,0,0,0,5,0,0,0,42,32,11,29,184,0,0,0,0,5,0,0,3,49,32,37,58,154,0,7,0,9,3,0,0,2,13,56,27,37,34,140,84,199,457,
85,1400000US33007951000,"Census Tract 9510, Coos County, New Hampshire",0,4,0,0,1,14,4,0,50,23,7,34,70,0,5,0,0,0,20,5,0,13,13,11,3,93,23,0,0,0,0,12,0,9,0,15,6,28,97,78.3,35.7,89,300,
92,1400000US33007951100,"Census Tract 9511, Coos County, New Hampshire",37,0,0,19,7,0,30,0,24,14,17,16,219,52,0,23,24,7,0,9,0,23,62,12,7,195,24,7,14,5,7,8,0,47,24,5,19,35,320,95.3,56.7,106,578,
258,1400000US33009960100,"Census Tract 9601, Grafton County, New Hampshire",83,19,0,49,40,14,0,16,16,0,126,20,331,24,55,73,14,26,0,0,0,0,54,24,61,268,121,0,71,0,0,0,0,17,19,14,26,0,622,55.4,47.6,257,982,
263,1400000US33009960200,"Census Tract 9602, Grafton County, New Hampshire",0,0,9,2,26,14,0,6,26,30,28,4,170,0,15,11,0,13,19,0,15,10,19,22,46,306,4,53,16,0,8,0,0,29,46,51,43,56,240,112,70,199,621,
264,1400000US33009960300,"Census Tract 9603, Grafton County, New Hampshire",7,12,4,15,21,2,0,49,43,43,8,42,248,13,7,7,16,5,2,8,35,65,32,13,45,330,3,24,18,5,43,9,0,48,76,22,37,45,353,213.1,67.9,190,824,
252,1400000US33009960400,"Census Tract 9604, Grafton County, New Hampshire",0,0,0,0,10,0,7,0,119,24,0,4,192,0,0,0,7,11,6,7,0,86,28,29,18,302,0,0,0,61,0,3,8,55,44,63,45,23,175,283.5,80.5,119,658,
253,1400000US33009960500,"Census Tract 9605, Grafton County, New Hampshire",23,0,0,66,17,26,0,0,26,3,3,2,121,11,0,0,3,28,5,2,0,20,7,26,19,155,14,14,0,4,14,9,4,0,59,22,7,8,240,114.6,22.4,65,442,
265,1400000US33009960600,"Census Tract 9606, Grafton County, New Hampshire",0,39,0,20,14,0,0,28,40,6,22,0,290,0,39,0,20,29,44,35,43,42,5,0,33,260,15,0,0,0,0,17,0,0,41,86,50,51,343,152.1,67.9,156,719,
262,1400000US33009960700,"Census Tract 9607, Grafton County, New Hampshire",8,0,0,26,0,0,0,0,34,17,9,28,192,12,14,0,5,0,7,0,3,30,29,6,86,174,13,15,0,4,3,2,0,6,41,41,7,42,118,131.1,60.9,178,488,
266,1400000US33009960800,"Census Tract 9608, Grafton County, New Hampshire",3,0,8,5,16,0,0,21,99,42,14,4,195,0,0,10,10,0,0,0,11,41,16,38,69,363,26,0,0,16,0,0,10,11,142,42,29,87,147,312,70,241,770,
259,1400000US33009960900,"Census Tract 9609, Grafton County, New Hampshire",3,0,6,3,19,2,0,1,22,14,25,71,199,0,0,1,6,34,2,0,14,14,19,29,80,169,2,0,2,0,12,1,0,6,9,32,7,98,114,64.5,45.5,310,534,
270,1400000US33009961000,"Census Tract 9610, Grafton County, New Hampshire",0,0,0,0,13,0,0,0,38,18,24,69,575,47,0,80,34,89,0,0,0,128,78,0,119,249,0,0,0,0,0,0,0,0,0,59,20,170,263,212.5,108.5,402,986,
257,1400000US33009961100,"Census Tract 9611, Grafton County, New Hampshire",42,24,16,34,36,31,9,16,22,43,0,59,269,6,17,18,38,22,16,8,0,24,34,8,78,310,0,32,40,6,0,41,0,28,65,41,0,57,480,146.4,82.6,202,911,
267,1400000US33009961200,"Census Tract 9612, Grafton County, New Hampshire",6,0,35,0,39,24,0,0,49,43,0,12,237,0,37,9,0,0,16,0,29,41,23,49,33,271,8,0,33,0,18,17,63,0,5,47,54,26,334,128.9,79.1,174,716,
260,1400000US33009961300,"Census Tract 9613, Grafton County, New Hampshire",0,0,3,20,4,3,0,24,10,24,39,9,199,7,9,9,0,8,3,0,12,109,14,21,7,264,22,10,0,0,4,2,0,0,90,39,48,49,140,232.1,53.9,173,599,
269,1400000US33009961400,"Census Tract 9614, Grafton County, New Hampshire",0,53,0,0,0,0,0,7,21,18,27,27,264,0,35,0,0,26,0,6,31,47,73,23,23,277,23,0,0,0,4,0,6,7,12,29,144,52,198,116,84,296,694,
256,1400000US33009961500,"Census Tract 9615, Grafton County, New Hampshire",0,0,0,0,99,0,0,0,57,22,22,53,182,0,0,0,0,0,0,7,22,0,73,39,41,137,0,0,0,0,0,0,0,0,0,104,0,33,128,116.7,139.3,188,572,
