IKN_addr,general,pediatric,specialist,X,Y,med_indicator,chip_indicator
"12021 CONANT ST,HAMTRAMCK,MI,48212-2716",0.5,0.0,0.0,-83.05580319,42.40700005,1,0
"1203 S BEECHTREE ST,GRAND HAVEN,MI,49417-2839",2.0,0.0,0.0,-86.20564907,43.05109552,1,0
"1205 W UNIVERSITY DR,ROCHESTER HILLS,MI,48307-1864",1.0,0.0,1.0,-83.15091136,42.68169554,1,0
"1208 E EIGHTH ST,TRAVERSE CITY,MI,49686-2939",1.0,0.0,0.0,-85.59227249,44.75862452,1,0
"12124 W LAKESHORE DR,BRIMLEY,MI,49715-9319",3.3337662337662337,0.0,0.0,-84.60189149,46.45145445,1,0
"1215 E MICHIGAN AVE,LANSING,MI,48912-1811",0.05882352941176471,0.0,0.0,-84.53527297,42.73359247,1,0
"1215 FULTON ST E,GRAND RAPIDS,MI,49503-3849",2.768331668331667,0.0,0.0,-85.63873194,42.96274949,1,0
"122 GRANT ST,NILES,MI,49120-2281",1.0,0.0,0.0,-86.25964075,41.82705848,1,0
"122 HIGHLAND DR,JACKSON,MI,49201-9164",1.0,0.0,0.0,-84.24616040000002,42.20132089,1,0
"122 N MAIN ST,EVART,MI,49631-9416",0.5,0.0,0.0,-85.25933666,43.90092551,1,0
"12251 JAMES ST,HOLLAND,MI,49424-9675",0.0,0.0,1.0,-86.08389202,42.81212151,1,0
"12265 N STATE RD,OTISVILLE,MI,48463-9794",2.0,0.0,0.0,-83.52019017,43.18828191,1,0
"1227 N MICHIGAN AVE,SAGINAW,MI,48602-4729",1.0,0.0,0.0,-83.95318376,43.42558892,1,0
"1228 CATALPA DR,ROYAL OAK,MI,48067-1127",0.25,0.0,0.0,-83.15823339,42.49709441,1,0
"123 MARMONT ST,NILES,MI,49120-1657",1.0,0.0,0.0,-86.25994859999999,41.84064218,1,0
"123 N WEST AVE STE C,JACKSON,MI,49201-1928",1.0,0.0,0.0,-84.42339483,42.24882527,1,0
"1230 W STATE ST,HASTINGS,MI,49058-9712",0.5384615384615385,0.08333333333333333,0.0,-85.30493383,42.648607500000004,1,0
"1235 INDUSTRIAL DR STE 2,SALINE,MI,48176-1742",1.0,0.0,0.0,-83.75759706,42.18288296,1,0
"124 PEARL ST STE 207,YPSILANTI,MI,48197-5375",2.0,0.0,0.0,-83.61423194,42.24225551,1,0
"1241 E EIGHTH ST,TRAVERSE CITY,MI,49686-2955",0.0,3.0,0.0,-85.59049113,44.75865949,1,0
"125 N PANSY ST,ISHPEMING,MI,49849-3015",2.0,0.0,0.0,-87.7167429,46.48629861,1,0
"125 N ROLAND ST,MC BAIN,MI,49657-9683",0.07692307692307693,0.0,0.0,-85.21053984,44.19250199,1,0
"1250 LEARS RD,PETOSKEY,MI,49770-9252",2.0,0.0,0.0,-84.96660528,45.34856811,1,0
"1250 MIDDLEBELT RD,INKSTER,MI,48141-1628",1.0,0.0,0.0,-83.33000996,42.30175354,1,0
"1250 WILSON ST STE 101,MARQUETTE,MI,49855-4418",0.0,0.0,1.0,-87.4210815,46.54119648,1,0
"12500 E 12 MILE RD,WARREN,MI,48093-3500",2.0,0.0,1.0,-82.99792074,42.50730955,1,0
"126 E MAIN ST,ROSE CITY,MI,48654-8721",1.0,0.0,0.0,-84.11574343,44.42142439,1,0
"1264 S COMMERCE RD,WALLED LAKE,MI,48390-3008",1.0419584500466852,0.0,0.0,-83.47789095,42.54341737,1,0
"127 S MADISON ST,TRAVERSE CITY,MI,49684-2319",1.0,0.0,0.0,-85.64295435,44.76300661,1,0
"127 S MAIN ST,ADRIAN,MI,49221-2623",2.0,0.0,0.0,-84.03685384,41.89825078,1,0
"12723 N BELLWOOD DR STE 30,HOLLAND,MI,49424-7275",3.0,0.0,0.0,-86.09664429,42.82500175,1,0
"12756 10 MILE RD,SOUTH LYON,MI,48178-8136",2.0,0.0,0.0,-83.69173902,42.45922954,1,0
"12776 S WEST BAY SHORE DR,TRAVERSE CITY,MI,49684-5451",1.0,0.0,1.0,-85.63705594,44.79264592,1,0
"12800 E WARREN AVE,DETROIT,MI,48215-2061",0.29166666666666663,0.0,0.0,-82.96903795,42.39169193,1,0
"12807 W WARREN AVE,DEARBORN,MI,48126-1532",2.5,0.0,0.0,-83.16862247,42.34419249,1,0
"1284 W GRAND RIVER AVE,WILLIAMSTON,MI,48895-9374",1.0,0.0,0.0,-84.30287605,42.68794025,1,0
"12871 E JEFFERSON AVE STE C,DETROIT,MI,48215-2754",1.4226190476190477,0.0,0.0,-82.95479451,42.37043643,1,0
"12890 RED ARROW HWY,SAWYER,MI,49125-9173",2.0,0.0,0.0,-86.61020827,41.88569071,1,0
"12947 NORTHLINE RD,SOUTHGATE,MI,48195-1111",0.0,1.0,0.0,-83.18375172,42.21372654,1,0
"1295 S LINDEN RD,FLINT,MI,48532-3498",0.0,0.0,1.0,-83.77281831,43.00966097,1,0
"12985 NORTHLINE RD,SOUTHGATE,MI,48195-1182",0.0,0.0,1.0,-83.18337283,42.21372548,1,0
"1299 S WEST BAY SHORE DR,SUTTONS BAY,MI,49682-9498",0.3333333333333333,0.0,0.0,-85.63696881,44.96417997,1,0
"130 MEDICAL CENTER DR,CARLETON,MI,48117-9461",1.916133383524688,0.0,0.0,-83.37838696,42.05603001,1,0
"1305 S MAIN ST,CHELSEA,MI,48118-1418",0.0,0.0,1.0,-84.02315963,42.30157187,1,0
"1308 MONROE ST,DEARBORN,MI,48124-2817",1.0,0.0,0.0,-83.24280290000002,42.30326717,1,0
"1308 N BURDICK ST,KALAMAZOO,MI,49007-2503",3.026190476190476,0.0,0.0,-85.58357388,42.30351033,1,0
"1309 SHELDON RD,GRAND HAVEN,MI,49417-2404",0.0,1.0,0.0,-86.22797008,43.05082513,1,0
"13131 BROOK ST,WOLVERINE,MI,49799-8406",0.17786561264822134,0.0,0.0,-84.60675492,45.2718005,1,0
"1317 PINE AVE,ALMA,MI,48801-1242",1.0,0.0,0.0,-84.65686833,43.389369,1,0
"1320 S WASHINGTON AVE,SAGINAW,MI,48601-2591",1.0,0.0,0.0,-83.94665585,43.41914685,1,0
"13205 E 14 MILE RD,STERLING HEIGHTS,MI,48312-6302",3.6428571428571432,0.0,0.0,-82.99267344,42.53780645,1,0
"13219 EUREKA RD,SOUTHGATE,MI,48195-1309",0.2,0.0,0.0,-83.18533997,42.19934653,1,0
"13240 EUREKA RD,SOUTHGATE,MI,48195-1310",1.0,0.0,0.0,-83.18570352,42.19939048,1,0
"1325 W 14 MILE RD,MADISON HEIGHTS,MI,48071-1056",0.5,0.0,0.0,-83.12272396,42.53380002,1,0
"133 E MAPLE AVE,ADRIAN,MI,49221-2157",1.0,0.0,0.0,-84.0337027,41.90190951,1,0
"1330 W WASHINGTON ST,GREENVILLE,MI,48838-2190",1.0,0.0,0.0,-85.27450355,43.17729353,1,0
"13300 FORD RD,DEARBORN,MI,48126-3327",1.0,0.0,0.0,-83.17443279999998,42.32960752,1,0
"13334 E JEFFERSON AVE,DETROIT,MI,48215-2719",0.5,0.0,0.0,-82.94929014,42.37088268,1,0
"1336 E M 21,OWOSSO,MI,48867-9039",1.0,0.0,0.0,-84.14732357,42.99773751,1,0
"13400 SCHAVEY RD,DEWITT,MI,48820-9011",1.0,0.0,0.0,-84.58885677,42.82048026,1,0
"13403 E 13 MILE RD,WARREN,MI,48088-3188",1.0,0.0,0.0,-82.99026313,42.52177247,1,0
"13724 WOODWARD AVE,HIGHLAND PARK,MI,48203-3625",1.3333333333333333,0.0,0.0,-83.09638609999998,42.40465565,1,0
"13741 W 11 MILE RD,OAK PARK,MI,48237-6926",1.0,0.0,0.0,-83.18590247,42.48867849,1,0
"13750 19 MILE RD,STERLING HEIGHTS,MI,48313-2702",1.0,0.0,0.0,-82.99063991,42.61044148,1,0
"13874 GRAND RIVER AVE,DETROIT,MI,48227-3123",6.937227538543327,0.0,0.5,-83.18176156,42.38600039,1,0
"13901 E JEFFERSON AVE,DETROIT,MI,48215-2720",3.075,0.0,0.0,-82.94800067,42.37140029,1,0
"13910 M 40,GOBLES,MI,49055-8699",1.0,0.0,0.0,-85.87903123,42.36838199,1,0
"13992 MERRIMAN RD,LIVONIA,MI,48154-4259",1.5,0.0,0.0,-83.35333945,42.38430785,1,0
"140 RIVER ST,ELK RAPIDS,MI,49629-5125",0.5,0.0,0.0,-85.41354621,44.89819126,1,0
"14036 STEPHENS RD,WARREN,MI,48089-2211",1.0,0.0,0.0,-82.98086974,42.47131554,1,0
"1404 FORD AVE,WYANDOTTE,MI,48192-3826",2.0,0.0,0.0,-83.17001266,42.21391049,1,0
"1406 MICHIGAN ST NE,GRAND RAPIDS,MI,49503-2006",2.0,0.0,0.0,-85.63468409999999,42.9699565,1,0
"1408 W HILL RD STE A,FLINT,MI,48507-4726",1.0,0.0,0.0,-83.70743327,42.94429746,1,0
"141 W WASHINGTON AVE,ALPENA,MI,49707-2759",1.0,0.0,0.0,-83.43644843,45.06150588,1,0
"1411 CENTER AVE,BAY CITY,MI,48708-6109",1.3333333333333333,0.0,0.0,-83.87501775,43.59703443,1,0
"1412 ROCHESTER RD,OAKLAND,MI,48363",0.5,0.0,0.0,-83.13809282,42.77862685,1,0
"1415 E 12 MILE RD,MADISON HEIGHTS,MI,48071-2653",1.0,0.0,0.0,-83.09185123,42.50508452,1,0
"1415 S LAKEVIEW AVE,STURGIS,MI,49091-2350",1.0,0.0,0.0,-85.40893937,41.78609197,1,0
"14254 GRATIOT AVE,DETROIT,MI,48205-2428",1.0,0.0,0.0,-82.97783112,42.43475877,1,0
"1431 OAKSTONE DR,ROCHESTER HILLS,MI,48309-1751",1.0,0.0,0.0,-83.16095977,42.68567551,1,0
"14350 W WARREN AVE,DEARBORN,MI,48126-1459",1.1666666666666663,0.0,0.0,-83.18398452,42.34389546,1,0
"144 N FROST DR STE 1,SAGINAW,MI,48638-7186",1.0,0.0,0.0,-84.02771567,43.41653983,1,0
"14420 EUREKA RD,SOUTHGATE,MI,48195-2058",2.0,0.0,0.0,-83.19919444,42.1991795,1,0
"1447 N HARRISON ST,SAGINAW,MI,48602-4727",2.0,0.0,0.0,-83.95558931,43.42866353,1,0
"145 W VIENNA ST,CLIO,MI,48420-1349",1.0,0.0,0.0,-83.73571127,43.17735849,1,0
"14525 SIBLEY RD,RIVERVIEW,MI,48193-7756",0.0,1.0,0.0,-83.19888152,42.17013254,1,0
"1455 N MICHIGAN AVE STE 500,HOWELL,MI,48843-3103",0.5,0.0,0.0,-83.92496484,42.62095261,1,0
"146 S INDUSTRIAL DR,SALINE,MI,48176-9493",0.14285714285714285,0.0,0.0,-83.75739855,42.17577369,1,0
"1460 WALTON BLVD STE 204,ROCHESTER HILLS,MI,48309-1779",1.0,0.0,0.0,-83.15987131,42.68151647,1,0
"14639 FORD RD,DEARBORN,MI,48126-3173",0.5,0.0,0.0,-83.18637922,42.32926551,1,0
"147 N CENTER ST,LOWELL,MI,49331-1207",2.0,0.0,0.0,-85.34927054,42.93275019,1,0
"147 W MICHIGAN AVE,CLINTON,MI,49236-9577",1.0,0.0,0.0,-83.9727813,42.07197654,1,0
"1472 BALDWIN AVE,PONTIAC,MI,48340-1102",1.0,0.0,0.0,-83.3006457,42.67754989,1,0
"14736 MACK AVE,DETROIT,MI,48215-2524",3.171277741865977,0.0,0.0,-82.94930038,42.38695325,1,0
"14755 FENKELL ST,DETROIT,MI,48227-2973",1.0,0.0,0.0,-83.19107263,42.40171553,1,0
"14807 W MCNICHOLS RD,DETROIT,MI,48235-3939",1.0,0.0,0.0,-83.19217191,42.41630754,1,0
"1481 S CENTER RD,BURTON,MI,48509-1779",1.0,0.0,0.0,-83.63451445,43.00530166,1,0
"15 ANDRE ST SE,GRAND RAPIDS,MI,49507-3010",2.3166666666666664,0.0,0.5,-85.66614055,42.925560499999996,1,0
"1500 E MEDICAL CENTER DR,ANN ARBOR,MI,48109-5000",3.333333333333333,0.0,0.6666666666666666,-83.72767862,42.28470958,1,0
"1500 SANDPOINT RD,MUNISING,MI,49862-1406",0.0,0.0,0.05882352941176471,-86.62581413,46.42391416,1,0
"1500 W SAGINAW ST,LANSING,MI,48915-1380",2.0,0.0,0.0,-84.57322113,42.74100552,1,0
"1500 WATERTOWER PL,EAST LANSING,MI,48823-8048",0.5,0.0,0.0,-84.50361352,42.76664045,1,0
"15031 MICHIGAN AVE,DEARBORN,MI,48126-3443",1.0,0.0,0.0,-83.19018231,42.31798908,1,0
"1504 HARCREST DR STE 2,MIDLAND,MI,48640-4717",0.5,0.0,0.0,-84.24602397,43.65216453,1,0
"1504 HARCREST DR,MIDLAND,MI,48640-4717",1.0,0.0,0.0,-84.24602397,43.65216453,1,0
"1507 S OTSEGO AVE STE B,GAYLORD,MI,49735-9524",0.0,0.0,1.0,-84.67747109999998,45.00987227,1,0
