BOD_addr,general,pediatric,specialist,Latitude,Longitude
"1111 WEST HILL ROAD,SUITE A,FLINT,MI,48507",0.0,1.0,0.0,42.943576,-83.696056
"11118 BRADLEY COURT,PLYMOUTH,MI,48170",1.0,0.0,0.0,42.3628138,-83.50646540000002
"11127 SAND CRANE WAY,SOUTH LYON,MI,48178",1.0,0.0,0.0,42.44040645,-83.72828944
"11140 HIGHLAND RD,HARTLAND,MI,48353",1.0,0.0,0.0,42.63499641,-83.7352571
"1118 LAKEVIEW CT,PETOSKEY,MI,49770",1.0,0.0,0.0,45.3599732,-84.9746147
"112 EAST THIRD STREET,HARBOR SPRINGS,MI,49740",1.0,0.0,0.0,45.4302124,-84.9885517
"112 SOUTH LAKE STREET,BOYNE CITY,MI,49712",1.0,0.0,0.0,45.21261766,-85.01497066
"112 SOUTH MAIN ST,ROMEO,MI,48065",0.0,0.0,1.0,42.802085399999996,-83.0138018
"112 W GRAND RIVER,HOWELL,MI,48843",1.0,0.0,0.0,42.60728779,-83.92964529
"1121 LAKE SHORE CIRCLE,,GRAND BLANC,MI,48439",1.0,0.0,0.0,42.887875,-83.6945631
"11234 CLOVIS POINTE DR,SOUTH LYON,MI,48178",1.0,0.0,0.0,42.44092737,-83.67895969
"11250 E 13 MILE RD STE 3,WARREN,MI,48093",1.0,0.0,0.0,42.520785499999995,-83.0141101
"1127 NIELSEN COURT APT #6,ANN ARBOR,MI,48105",1.0,0.0,0.0,42.28920288,-83.73533719
"1127 WEST STATE STREET,HASTINGS,MI,49058",1.0,0.0,0.0,42.648746700000004,-85.30027351
"1128 ALAMEDA BLVD,TROY,MI,48085",1.0,0.0,0.0,42.618016600000004,-83.1287441
"11288 E. 44 1/2 RD.,CADILLAC,MI,496012547",1.0,0.0,0.0,44.21557184,-85.35068256
"1131 BEACON HILL DRIVE,DEXTER,MI,48130",0.0,0.0,1.0,42.35419285,-83.90327029
"11322 BANCROFT CT,FENTON,MI,48430",0.0,0.0,1.0,42.78040273,-83.73571056
"11328 WOODBRIDGE DR,GRAND BLANC,MI,48439",1.0,0.0,0.0,42.931982700000006,-83.626651
"11346 PINEHURST RD,PLYMOUTH,MI,48170",1.0,0.0,0.0,42.362289000000004,-83.5449083
"1135 SOUTH LAPEER RD,SUITE A,LAKE ORION,MI,48360",0.0,0.0,1.0,42.7648055,-83.24045129999998
"1136 COUNTRY CLUB RD STE B,ADRIAN,MI,49221",1.0,0.0,0.0,41.90297759,-84.06352577
"1137 HOLLAND ST,BIRMINGHAM,MI,48009",1.0,0.0,0.0,42.5416516,-83.2049893
"1137 MEADOWGLEN CT,BLOOMFIELD HILLS,MI,48304",1.0,0.0,0.0,42.61058060000001,-83.21626140000002
"1137 PANAMA AVE,MOUNT MORRIS,MI,48458",1.0,0.0,0.0,43.0916401,-83.6891007
"11384 GLENNMARK TRAIL,MONTROSE,MI,48457",1.0,0.0,0.0,43.18007070000001,-83.9058279
"1141 SPRINGBORROW,FLINT,MI,48532",1.0,0.0,0.0,43.0201504,-83.8004012
"11425 LOPRETE DR.,MANISTEE,MI,49660",1.0,0.0,0.0,44.1657593,-86.3936468
"11426 MERRIMAN,LIVONIA,MI,48150",1.0,0.0,0.0,42.367941200000004,-83.35184790000002
"1143 BONANZA DR,OKEMOS,MI,48864",1.0,0.0,0.0,42.68805898,-84.38608284
"11436 SCOTT RD,WOLVERINE,MI,49799",1.0,0.0,0.0,45.29580487,-84.60495751
"11451 JOSEPH CAMPAU,HAMTRAMCK,MI,48212",1.0,0.0,0.0,42.40115534,-83.06093449
"11453 15 MILE,STERLING HEIGHTS,MI,483123809",1.0,0.0,0.0,42.5521805,-83.01089809999998
"1146 RIDGE WAY DR,ROCHESTER,MI,48307",1.0,0.0,0.0,42.68897,-83.11882309999999
"11463 ARROWHEAD DR,SOUTH LYON,MI,48178",0.0,0.0,1.0,42.43924389,-83.67277929
"11466 CABANA SHORES RD.,WILLIAMSBURG,MI,49690",1.0,0.0,0.0,44.85860983,-85.4305911
