IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"11784 BELLEVILLE RD,VAN BUREN TWP,MI,48111-2457",1.5,,0.0,,0.0,,,,,,0.0,1.0,,
"1179 WHITEHALL RD,MUSKEGON,MI,49445-2497",2.0,,0.0,,0.0,,,,,,0.0,1.0,,
"118 S GREENVILLE WEST DR,GREENVILLE,MI,48838-3554",0.5,,0.0,,0.0,,,,,,0.0,1.0,,
"118 W SUPERIOR ST,MUNISING,MI,49862-1124",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1180 OTTAWA BEACH RD STE E,HOLLAND,MI,49424-2597",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"11885 E 12 MILE RD STE 300B,WARREN,MI,48093-3467",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"11885 E 12 MILE RD STE 303B,WARREN,MI,48093-3467",1.7884615384615383,,0.0,,0.0,,,,,,0.0,1.0,,
"119 E BRIDGE ST,PORTLAND,MI,48875-1434",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"119 N EAGLE ST,MARSHALL,MI,49068-1501",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"119 S STATE ST,SHELBY,MI,49455-1243",0.8742424242424243,,0.0,,0.0,,,,,,0.0,1.0,,
"11900 E 12 MILE RD STE 210,WARREN,MI,48093-3490",0.0,,0.0,,0.25,,,,,,0.0,1.0,,
"11970 SWEETWATER DR,GRAND LEDGE,MI,48837-8199",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"12 S 4TH ST,LANSE,MI,49946-1404",2.0,,0.0,,0.0,,,,,,0.0,1.0,,
"120 E MAIN ST,STOCKBRIDGE,MI,49285-9482",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"120 HERRICK PARK DR,TECUMSEH,MI,49286-1422",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"120 N PINE ST,EVART,MI,49631-5120",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"120 S MAIN ST STE F,MILFORD,MI,48381-1975",0.0,,0.0,,1.0,,,,,,0.0,1.0,,
"1200 CREEKWOOD TRL,BURTON,MI,48509-1565",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
