idx,BOD_addr,general,hygienist,pediatric,specialist,med_indicator,chip_indicator,hygienist_for_general,hygienist_for_pediatric
106,"1020 Jamestown Blvd., Bldg. 100, Watkinsville GA  30677",0.0,0.0,0.0,1.0,0,0,0.0,0.0
107,"1020 Thornwell Ct, Athens GA  30606",1.0,0.0,0.0,0.0,0,0,2.0,0.0
108,"1022 Guale Point, SE, Darien GA  31305",1.0,0.0,0.0,0.0,0,0,2.0,0.0
109,"10220 Ford AVE, Richmond Hill GA  31324",0.0,0.0,0.0,1.0,0,0,0.0,0.0
110,"10220 Ford Avenue, Richmond Hill GA  31324",0.0,0.0,0.0,1.0,0,0,0.0,0.0
111,"10230 Ford Avenue, Richmond Hill GA  31324",1.0,0.0,0.0,0.0,0,0,2.0,0.0
112,"1024 Market Place Blvd, Cumming GA  30041",1.0,0.0,0.0,0.0,0,0,2.0,0.0
113,"1025 OMAHA DRIVE, NORCROSS GA  30093",1.0,0.0,0.0,0.0,0,0,2.0,0.0
114,"1025 Omaha Drive, NORCROSS GA  30093",1.0,0.0,0.0,0.0,0,0,2.0,0.0
115,"1025 Rose Creek Drive, Suite 260, Woodstock GA  30189",1.0,0.0,0.0,0.0,0,0,2.0,0.0
116,"1026 Bluffhaven Way NE, Brookhaven GA  30319",1.0,0.0,0.0,0.0,0,0,2.0,0.0
117,"1026 Thompson Bridge Rd, Gainesville GA  30501",1.0,0.0,0.0,0.0,0,0,2.0,0.0
118,"1026 Thompson Bridge Rd., Gainesville GA  30501",1.0,0.0,0.0,0.0,0,0,2.0,0.0
119,"10265 Jones Bridge Rd, Alpharetta GA  30022",1.0,0.0,0.0,0.0,0,0,2.0,0.0
120,"1027 PARC LANE EAST, DECATUR GA  30033",1.0,0.0,0.0,0.0,0,0,2.0,0.0
121,"103 Falligant Ave, Savannah GA  31410",0.0,0.0,0.0,1.0,0,0,0.0,0.0
122,"103 Mountain View Drive, Suite A, Cumming GA  30040",1.0,0.0,0.0,0.0,0,0,2.0,0.0
123,"103 Winterberry Drive, Savannah GA  31406",1.0,0.0,0.0,0.0,0,0,2.0,0.0
124,"103 Woodfield Court, Peachtree City GA  30269",1.0,0.0,0.0,0.0,0,0,2.0,0.0
125,"103 Woodrow Wilson Drive, Valdosta GA  31602",1.0,0.0,0.0,0.0,0,0,2.0,0.0
126,"1030 A Duluth Highway, Lawrenceville GA  30045",1.0,0.0,0.0,0.0,0,0,2.0,0.0
127,"1030 DULUTH HWY, Lawrenceville GA  30043",1.0,0.0,0.0,0.0,0,0,2.0,0.0
128,"1030 Duluth Hwy, Lawrenceville GA  30043",2.0,0.0,0.0,0.0,0,0,4.0,0.0
129,"1030 EAST PACES CHASE NE, ATLANTA GA  30326",3.0,0.0,0.0,0.0,0,0,6.0,0.0
130,"1030A Duluth Highway, Lawrenceville GA  30043",1.0,0.0,0.0,0.0,0,0,2.0,0.0
131,"1032 Moores Walk Lane, Suwanee GA  30024",0.0,0.0,0.0,1.0,0,0,0.0,0.0
132,"10360 Medlock Bridge Rd, Suite D, Johns Creek GA  30097",1.0,0.0,0.0,0.0,0,0,2.0,0.0
133,"1039 Peachtree Ind. Blvd  A-116, A 116, Suwanee GA  30024",1.0,0.0,0.0,0.0,0,0,2.0,0.0
134,"104 Ansley Dr., Dahlonega GA  30533",1.0,0.0,0.0,0.0,0,0,2.0,0.0
135,"104 Ansley Drive, P.O. Box 125, Dahlonega GA  30533",1.0,0.0,0.0,0.0,0,0,2.0,0.0
136,"104 Ashton Ct SE, Calhoun GA  30701",2.0,0.0,0.0,0.0,0,0,4.0,0.0
137,"104 Moores Grove Rd., Winterville GA  30683",1.0,0.0,0.0,0.0,0,0,2.0,0.0
138,"104 Old Mill Road, LaGrange GA  30241",1.0,0.0,0.0,0.0,0,0,2.0,0.0
139,"104 Prominece Point Pkwy, Suite 100, Canton GA  30114",1.0,0.0,0.0,0.0,0,0,2.0,0.0
140,"104 Prominence Point Parkway, Suite 100, Canton GA  30114",1.0,0.0,0.0,0.0,0,0,2.0,0.0
141,"104 Prominence Point Parkway, Suite 102, Canton GA  30114",1.0,0.0,0.0,0.0,0,0,2.0,0.0
142,"104 S Houston Rd, Warner Robins GA  31088",1.0,0.0,0.0,0.0,0,0,2.0,0.0
143,"104 Tommy Stalnaker Dr, Warner Robins GA  31088",0.0,0.0,1.0,0.0,0,0,0.0,2.0
144,"1041 Armors Ford, Greensboro GA  30642",1.0,0.0,0.0,0.0,0,0,2.0,0.0
145,"1041 Parkside Commons, Suite 104, Greensboro GA  30642",1.0,0.0,0.0,0.0,0,0,2.0,0.0
146,"1045 Piedmont Ave NE, Unit 508, Atlanta GA  30309",1.0,0.0,0.0,0.0,0,0,2.0,0.0
147,"1045 Wescott Ave, Suwanee GA  30024",1.0,0.0,0.0,0.0,0,0,2.0,0.0
148,"1046 North Side Drive East, Statesboro GA  30458",1.0,0.0,0.0,0.0,0,0,2.0,0.0
149,"10470 Veterans Memorial Hwy, Lithia Springs GA  30122",1.0,0.0,0.0,0.0,0,0,2.0,0.0
150,"10475 Medlock Bridge Road, Suite 114, Johns Creek GA  30097",0.0,0.0,0.0,1.0,0,0,0.0,0.0
151,"105 Bob White Rd, Kathleen GA  31047",1.0,0.0,0.0,0.0,0,0,2.0,0.0
152,"105 Bob White Road, Kathleen GA  31047",1.0,0.0,0.0,0.0,0,0,2.0,0.0
153,"105 Brandywine Trail, Carrollton GA  30117",1.0,0.0,0.0,0.0,0,0,2.0,0.0
154,"105 Braxton Court, Fayetteville GA  30214",1.0,0.0,0.0,0.0,0,0,2.0,0.0
