idx,IKN_addr,general,hygienist,pediatric,specialist,X,Y,med_indicator,chip_indicator,hygienist_for_general,hygienist_for_pediatric
770,"3308 HIGHWAY 5,DOUGLASVILLE,GA,30135-2308",0.0,0.0,0.0,0.1,-84.76641095,33.71621210000001,0,1,0.0,0.0
771,"331 ARCADO RD NW STE D,LILBURN,GA,30047-3077",0.5,0.0,0.0,0.0,-84.11992968,33.90073963,0,1,1.0,0.0
772,"331 ARCADO RD NW,LILBURN,GA,30047-3077",2.8666666666666667,0.0,0.0,0.0,-84.11992968,33.90073963,0,1,5.7333333333333325,0.0
773,"331 STONEWALL ST NE,DAWSON,GA,39842-1435",0.5,0.0,0.0,0.0,-84.44543911,31.77593989,0,1,1.0,0.0
774,"3311 GENTIAN BLVD,COLUMBUS,GA,31907-5626",1.0,0.0,0.0,0.0,-84.9382296,32.50579361,0,1,2.0,0.0
775,"3321 CENTERVILLE HWY STE B,SNELLVILLE,GA,30039-6115",0.5,0.0,0.0,0.0,-84.04268224,33.81103421,0,1,1.0,0.0
776,"3321 CENTERVILLE HWY,SNELLVILLE,GA,30039-6115",0.5,0.0,0.0,0.0,-84.04272205,33.81092449,0,1,1.0,0.0
777,"3330 PIEDMONT RD NE,ATLANTA,GA,30305-1726",2.7666666666666666,0.0,0.0,0.1,-84.37315232,33.84721383,0,1,5.533333333333332,0.0
778,"335 PEACHTREE INDUSTRIAL BLVD STE 2210,SUWANEE,GA,30024-3721",0.0,0.0,0.0,2.0,-84.07216161,34.06564452,0,1,0.0,0.0
779,"336 E GREENE ST,MONTICELLO,GA,31064-1012",0.037037037037037035,0.0,0.0,0.0,-83.68044557,33.30330933,0,1,0.07407407407407407,0.0
780,"3367 BUFORD HWY NE STE 910,BROOKHAVEN,GA,30329-1833",0.16666666666666666,0.0,0.0,0.0,-84.32849128,33.84306126,0,1,0.3333333333333333,0.0
781,"3379 PEACHTREE RD NE,ATLANTA,GA,30326-1031",1.0,0.0,0.0,0.0,-84.36634492,33.84861793,0,1,2.0,0.0
782,"3380 OLD JEFFERSON RD,ATHENS,GA,30607-1480",7.0,0.0,0.0,0.5,-83.41815959,33.98465601,0,1,14.0,0.0
783,"3387 HIGHWAY 5 STE C,DOUGLASVILLE,GA,30135-6900",0.047619047619047616,0.0,0.07151979565772668,0.0,-84.76971879999998,33.71371015,0,1,0.09523809523809523,0.14303959131545335
784,"3387 HIGHWAY 5 STE E,DOUGLASVILLE,GA,30135-6900",0.125,0.0,0.0,0.0,-84.76971879999998,33.71371015,0,1,0.25,0.0
785,"3387 HIGHWAY 5,DOUGLASVILLE,GA,30135-6900",0.0,0.0,0.5333333333333333,0.0,-84.76971879999998,33.71371015,0,1,0.0,1.0666666666666669
786,"339 ATLANTA HWY SE STE 500,WINDER,GA,30680-7514",0.5,0.0,0.0,0.0,-83.70581847,33.97834129,0,1,1.0,0.0
787,"3395 SIXES RD STE 140,CANTON,GA,30114-9119",0.5864468864468864,0.0,0.3333333333333333,0.0,-84.54919668,34.17401752,0,1,1.1728937728937727,0.6666666666666666
788,"3395 SIXES RD,CANTON,GA,30114-9125",0.9102564102564102,0.0,0.2833333333333333,0.0,-84.54919668,34.17401752,0,1,1.8205128205128205,0.5666666666666667
789,"34 3RD AVE,MC RAE,GA,31055-5248",0.5,0.0,0.0,0.0,-82.89967618,32.07137053,0,1,1.0,0.0
790,"34 S THIRD AVE,MC RAE,GA,31055-4929",1.5,0.0,0.0,0.0,-82.90149381,32.06657179,0,1,3.0,0.0
791,"3400 OLD MILTON PKWY APT C,ALPHARETTA,GA,30005-3707",0.0,0.0,0.0,0.5,-84.26295228,34.06832672,0,1,0.0,0.0
