id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,,
1400000US13013180103,,"Census Tract 1801.03, Barrow County, Georgia",0,0,29,0,21,0,35,0,32,77,10,39,631,29,0,65,64,33,15,31,0,107,104,73,110,554,28,0,50,0,21,13,6,38,86,142,80,90,302.5,288,435.5,402,1428,,
1400000US13013180104,,"Census Tract 1801.04, Barrow County, Georgia",36,0,21,0,0,16,10,19,40,0,5,0,177,31,0,29,22,0,38,9,0,32,8,8,0,207,21,0,0,24,16,46,25,0,7,44,17,7,192,210.5,91.5,37,531,,
1400000US13013180105,,"Census Tract 1801.05, Barrow County, Georgia",9,0,0,36,0,13,0,23,37,88,12,8,238,0,39,0,0,0,18,0,19,48,101,7,6,214,23,7,0,0,0,0,0,34,58,35,31,26,114,178.5,295.5,90,678,,
1400000US13013180106,,"Census Tract 1801.06, Barrow County, Georgia",0,16,36,0,26,24,40,22,15,36,0,6,166,6,22,10,14,25,0,0,12,41,24,5,7,242,11,0,9,56,12,6,0,0,64,31,33,20,211.5,195.5,151,71,629,,
1400000US13013180107,,"Census Tract 1801.07, Barrow County, Georgia",60,0,0,18,88,10,0,0,37,52,9,0,301,9,0,0,69,60,0,2,0,110,9,30,12,234,0,0,0,39,22,15,19,5,104,21,0,9,280,261.5,207.5,60,809,,
1400000US13013180108,,"Census Tract 1801.08, Barrow County, Georgia",11,0,61,0,124,14,0,0,126,83,0,5,186,22,0,0,0,30,22,0,0,60,52,0,0,168,1,23,0,0,0,0,4,0,88,13,0,39,195,254,285,44,778,,
1400000US13013180203,,"Census Tract 1802.03, Barrow County, Georgia",0,27,120,36,54,78,0,0,8,11,0,0,418,7,45,41,48,42,73,32,0,106,24,0,0,271,15,66,40,10,40,0,0,0,57,43,0,0,523,336.5,163.5,0,1023,,
1400000US13013180204,,"Census Tract 1802.04, Barrow County, Georgia",17,27,3,20,9,0,0,0,87,0,0,0,298,0,57,12,22,11,31,8,0,121,16,0,20,287,23,67,8,11,15,63,8,34,45,6,7,0,284.5,288,148.5,27,748,,
1400000US13013180205,,"Census Tract 1802.05, Barrow County, Georgia",22,14,83,77,42,50,61,38,41,18,27,59,371,20,29,10,0,26,0,11,29,128,27,35,56,231,7,23,21,10,25,0,43,30,31,21,20,0,362.5,408.5,166,197,1134,,
1400000US13013180206,,"Census Tract 1802.06, Barrow County, Georgia",13,38,0,0,23,0,20,0,74,0,41,18,160,0,12,9,0,0,25,26,0,43,7,32,6,332,21,0,55,55,20,0,26,0,80,17,58,0,224.5,217,122.5,155,719,,
1400000US13013180301,,"Census Tract 1803.01, Barrow County, Georgia",0,12,0,16,0,0,8,26,70,35,8,11,203,0,7,0,0,23,0,0,0,89,49,8,27,132,0,0,0,0,15,0,0,0,45,16,31,25,54,155,202,110,521,,
1400000US13013180302,,"Census Tract 1803.02, Barrow County, Georgia",15,37,0,0,47,8,0,0,186,80,76,0,508,52,52,0,0,70,21,0,0,55,114,123,21,477,106,46,7,0,65,28,0,0,95,19,73,38,406,316,381,331,1434,,
1400000US13013180303,,"Census Tract 1803.03, Barrow County, Georgia",128,4,0,86,114,0,0,29,55,29,0,25,633,13,73,12,71,47,19,0,53,258,30,37,20,654,12,31,120,20,68,31,0,30,236,31,41,34,684.5,551,364.5,157,1757,,
1400000US13013180401,,"Census Tract 1804.01, Barrow County, Georgia",11,67,0,48,39,56,12,62,217,52,93,43,670,13,39,29,94,38,55,9,38,140,52,72,91,411,24,9,43,22,0,93,10,33,86,45,32,14,437.5,628,370.5,345,1781,,
1400000US13013180402,,"Census Tract 1804.02, Barrow County, Georgia",15,0,0,0,14,41,0,16,207,73,16,61,585,20,102,17,98,49,60,0,0,74,110,19,36,489,72,14,28,184,7,0,0,0,77,36,64,7,585,331,398,203,1517,,
1400000US13013180501,,"Census Tract 1805.01, Barrow County, Georgia",8,0,27,50,31,105,13,0,130,114,27,44,718,40,0,71,95,60,48,0,0,166,87,80,71,565,25,0,53,50,18,19,0,0,102,147,108,43,473.5,438.5,547,373,1832,,
1400000US13013180502,,"Census Tract 1805.02, Barrow County, Georgia",0,0,0,16,30,41,0,4,111,28,14,9,458,4,56,16,5,32,11,29,4,105,53,76,67,492,0,82,70,16,0,15,0,4,80,95,90,40,296,287,324,296,1203,,
1400000US13013180503,,"Census Tract 1805.03, Barrow County, Georgia",28,0,0,0,19,48,0,13,79,144,78,37,538,0,12,29,45,0,0,0,16,98,142,134,62,603,0,54,29,46,48,13,5,0,207,122,13,66,276.5,320.5,600,390,1587,,
1400000US13015960101,,"Census Tract 9601.01, Bartow County, Georgia",21,0,0,0,0,0,0,0,0,32,9,8,98,21,0,0,6,0,8,0,27,9,8,5,14,63,8,0,0,5,0,5,0,0,6,0,39,0,61,47.5,47.5,75,231,,
1400000US13015960102,,"Census Tract 9601.02, Bartow County, Georgia",7,0,0,46,58,73,0,2,100,211,19,104,975,9,0,14,33,156,76,4,2,156,264,99,162,627,0,16,47,2,62,0,0,0,205,172,38,85,312,525.5,877.5,507,2222,,
1400000US13015960200,,"Census Tract 9602, Bartow County, Georgia",47,27,37,118,63,26,60,32,240,259,244,18,923,63,17,56,68,30,3,60,0,146,155,196,129,933,37,0,77,73,31,47,6,0,308,243,54,57,682,643,1004,698,3027,,
1400000US13015960300,,"Census Tract 9603, Bartow County, Georgia",0,14,36,0,0,43,40,46,46,32,39,58,544,30,27,11,12,35,92,40,0,129,93,62,13,592,27,0,17,24,51,0,41,0,149,152,20,111,241,507,439,303,1490,,
1400000US13015960401,,"Census Tract 9604.01, Bartow County, Georgia",27,0,0,137,0,80,26,55,113,117,23,0,882,0,66,0,120,0,166,38,25,201,216,50,0,1167,189,0,0,92,0,47,145,0,415,151,111,17,631,946.5,848.5,201,2627,,
1400000US13015960402,,"Census Tract 9604.02, Bartow County, Georgia",19,0,0,39,128,30,77,0,62,124,0,209,533,0,97,0,25,0,60,38,15,129,0,0,169,539,19,86,0,0,75,126,35,15,70,0,0,113,386.5,628,254.5,491,1760,,
1400000US13015960500,,"Census Tract 9605, Bartow County, Georgia",88,20,158,13,49,0,59,0,172,82,84,0,1038,94,117,208,0,80,32,0,50,303,108,17,29,456,21,148,69,0,0,0,33,0,24,86,31,44,1000.5,488,525.5,205,2219,,
1400000US13015960600,,"Census Tract 9606, Bartow County, Georgia",128,16,0,23,45,100,0,110,31,0,149,111,732,0,74,0,55,83,0,12,80,172,55,60,141,773,66,93,0,53,16,31,13,149,93,148,44,67,580,715,351,572,2218,,
1400000US13015960700,,"Census Tract 9607, Bartow County, Georgia",0,78,136,51,92,35,0,59,283,13,0,47,928,118,128,164,147,6,83,53,0,99,33,0,97,536,54,0,0,132,69,0,0,0,199,0,43,39,1091.5,604,336.5,226,2258,,
1400000US13015960801,,"Census Tract 9608.01, Bartow County, Georgia",6,0,0,0,14,27,0,0,22,21,31,0,304,10,0,0,0,28,92,13,0,38,88,11,24,212,9,14,37,10,27,21,7,0,0,58,12,17,120.5,224.5,197,95,637,,
1400000US13015960802,,"Census Tract 9608.02, Bartow County, Georgia",128,0,68,114,33,0,0,0,0,46,20,29,331,81,21,26,82,7,31,10,0,19,6,38,10,226,15,6,0,58,30,0,10,0,11,38,58,0,634,101,105,155,995,,
1400000US13015960803,,"Census Tract 9608.03, Bartow County, Georgia",29,7,40,18,59,50,0,11,83,41,19,16,639,19,12,10,53,121,114,14,3,89,85,27,92,345,15,12,49,23,18,23,28,23,13,74,15,52,386,457.5,292.5,221,1357,,
1400000US13015960901,,"Census Tract 9609.01, Bartow County, Georgia",48,0,37,0,27,26,31,16,9,87,9,18,312,33,0,0,0,25,15,33,10,79,92,10,15,229,6,0,6,0,64,0,35,9,58,19,18,14,188,306,271,84,849,,
1400000US13015960902,,"Census Tract 9609.02, Bartow County, Georgia",78,19,55,137,0,21,0,17,115,46,23,54,301,56,0,0,21,0,0,0,0,116,29,0,79,682,0,0,0,81,0,0,0,0,110,135,106,250,447,208.5,380.5,512,1548,,
1400000US13015961000,,"Census Tract 9610, Bartow County, Georgia",0,21,15,168,0,6,19,13,101,54,0,67,390,11,20,15,0,0,44,32,31,157,48,29,3,963,0,85,53,0,13,20,16,18,137,224,102,295,394.5,403,523.5,496,1817,,
