County_ID,County_Name,State_ID,State_Name,n^M_i,n^H_i,n^U_i,n^O_i,p_i,PREDICTED_DEMAND,STATE_FIPS,COUNTY_FIPS,County_Population_2010,RUCC_2013,NUM_DENTISTS,ACCEPTS_MED,ACCEPTS_CHIP,ACCEPTS_MED_CHIP,ONLY_PRIVATE,NUM_GENERALIST,NUM_SPECIALIST,NUM_PEDIATRITION,NUM_MED_GENERALIST,NUM_MED_SPECIALIST,NUM_MED_PEDIATRITION,NUM_CHIP_GENERALIST,NUM_CHIP_SPECIALIST,NUM_CHIP_PEDIATRITION,NUM_MED_CHIP_GENERALIST,NUM_MED_CHIP_SPECIALIST,NUM_MED_CHIP_PEDIATRITION,PUBLIC_DENTIST_RATIO,PREDICTED_SUPPLY,PUBLIC_AVAILABILITY_RATIO,label
51,Garland County,5,Arkansas,8894,2432.64,5167.36,3071,19565,19.12569573,5,51,0,3,59,32,32,32,27,46,10,3,24,6,2,24,6,2,24,6,2,0.542372881,6.96,0.36390833,-1
53,Grant County,5,Arkansas,1146,868.28,1072.72,991,4078,3.579545455,5,53,0,2,4,4,4,4,0,4,0,0,4,0,0,4,0,0,4,0,0,1,0.88,0.24584127,4
55,Greene County,5,Arkansas,4149,1618.52,3152.48,1772,10692,10.3432282,5,55,0,4,15,10,10,10,5,15,0,0,10,0,0,10,0,0,10,0,0,0.666666667,2.2,0.212699552,5
57,Hempstead County,5,Arkansas,3064,843.36,1254.64,506,5668,5.985621521,5,57,0,6,6.5,5.5,5.5,5.5,1,5.5,1,0,4.5,1,0,4.5,1,0,4.5,1,0,0.846153846,0.99,0.165396358,0
59,Hot Spring County,5,Arkansas,2788,1295.64,1970.36,883,6937,7.019944341,5,59,0,6,7,4,4,4,3,7,0,0,4,0,0,4,0,0,4,0,0,0.571428571,0.88,0.125357119,0
61,Howard County,5,Arkansas,1799,413.16,830.84,361,3404,3.528525046,5,61,0,6,3,3,3,3,0,3,0,0,3,0,0,3,0,0,3,0,0,1,0.66,0.187046993,0
63,Independence County,5,Arkansas,3689,959.08,2555.92,1467,8671,8.353432282,5,63,0,7,14,9,9,9,5,14,0,0,9,0,0,9,0,0,9,0,0,0.642857143,1.98,0.237028318,0
65,Izard County,5,Arkansas,1042,366.84,691.16,352,2452,2.435064935,5,65,0,9,4,2,2,2,2,4,0,0,2,0,0,2,0,0,2,0,0,0.5,0.44,0.180693333,0
67,Jackson County,5,Arkansas,1810,465.84,587.16,570,3433,3.319805195,5,67,0,6,7,6,6,6,1,6,1,0,6,0,0,6,0,0,6,0,0,0.857142857,1.32,0.397613692,0
69,Jefferson County,5,Arkansas,8061,1817.48,3498.52,2091,15468,15.51136364,5,69,0,3,21,12,12,12,9,16,3,2,8,2,2,8,2,2,8,2,2,0.571428571,3.44,0.221772894,6
