State_County_Tract_FIPS_Code,Sum_by_tract
27109001601,2
27053109700,2
27169670700,2
27037060714,2
27163070912,2
27053110400,2
27003050821,2
27067780300,2
27035950501,2
27043460400,2
27123042201,2
27113090200,2
27169670300,2
27127750200,2
27053100200,2
27053104000,2
27045960600,2
27053026007,2
27019091000,2
27147960300,2
27053101600,2
27123041900,2
27037060606,2
27009021101,2
27067780400,2
27053026818,2
27079950400,2
27097780400,2
27123041105,2
27163070502,2
27037060726,2
27037060823,2
27123030400,1
27113090500,1
27143170200,1
27053104100,1
27053026202,1
27053106500,1
27013171101,1
27137014100,1
27109001203,1
27127750500,1
27123032300,1
27067781100,1
27007940001,1
27047180300,1
27053111100,1
27053021200,1
27163071018,1
27075370300,1
27053026505,1
27053020102,1
27049080900,1
27037060820,1
27037060709,1
27037060811,1
27053106400,1
27123040301,1
27113090400,1
27053020304,1
27119020200,1
27123034900,1
27139080906,1
27079950300,1
27053012101,1
27053025903,1
27123041601,1
27111961200,1
27137011100,1
27127750600,1
27099001300,1
27099000300,1
27003050505,1
27053022101,1
27123035700,1
27123042001,1
27123041301,1
27109002300,1
27137013200,1
27059130200,1
27163070304,1
27053000101,1
27053000102,1
27137013000,1
27053125700,1
27149480100,1
27053110200,1
27157490300,1
27081201001,1
27103480600,1
27003050809,1
27025110502,1
27003050706,1
27163070703,1
27123041800,1
27053025403,1
27103480501,1
27115950300,1
27053010600,1
27161790200,1
27163071013,1
27053020600,1
27043460500,1
27017070400,1
27123032600,1
27123034601,1
27027020300,1
27047180800,1
27123034602,1
27103480300,1
27037060103,1
27097780500,1
27123031702,1
27053021501,1
27053009600,1
27019090402,1
27059130501,1
27163070501,1
27123042302,1
27053111200,1
27061940000,1
