Tract,Sum_by_Tract
27061480900,2
27139080203,2
27025110501,2
27139080205,2
27139080204,2
27053025302,2
27145000401,2
27085950100,2
27049080800,2
27123041800,2
27053102500,2
27163070502,2
27123037601,2
27053026716,2
27053026714,2
27137001400,2
27053008500,2
27007450702,2
27035950204,2
27123036300,2
27053024400,2
27119020200,2
27053027501,2
27053027503,2
27013170400,2
27019091100,2
27053022802,2
27053110500,2
27123033200,2
27009021101,2
27045960100,1
27019090100,1
27053025702,1
27111961000,1
27091790600,1
27083360100,1
27129790400,1
27123031801,1
27053103700,1
27053027400,1
27053006800,1
27141030300,1
27145011600,1
27053002700,1
27053026908,1
27037060604,1
27123040704,1
27137001900,1
27123040301,1
27097780700,1
27037061008,1
27073180100,1
27141030101,1
27117460200,1
27037061107,1
27137015700,1
27143170400,1
27003050210,1
27163070909,1
27123042201,1
27123036600,1
27163070501,1
27053103000,1
27003050219,1
27163070204,1
27053021505,1
27123030100,1
27123042402,1
27037060502,1
27053111600,1
27003050229,1
27013171101,1
27003050237,1
27143170300,1
27057070200,1
27005450500,1
27171100300,1
27095970100,1
27169671000,1
27053021502,1
27171100900,1
27053111200,1
27123042602,1
27029000100,1
27005940000,1
27163070304,1
27059130502,1
27115950700,1
27015960300,1
27137001300,1
27019090302,1
27053126000,1
27053026712,1
27037061401,1
27003050227,1
27163070406,1
27017070500,1
27003050226,1
27053023000,1
27123980000,1
27123041700,1
27049080200,1
27151960400,1
27145011301,1
27123034000,1
27139080302,1
27053105100,1
27139080301,1
27053025605,1
27027030202,1
27029000300,1
27105105500,1
27109001701,1
27053022400,1
27053020801,1
27137013000,1
27019091201,1
27133570300,1
27053024500,1
27163071208,1
27123041104,1
27037060825,1
27145010402,1
27123041500,1
27123033300,1
27053026512,1
27131070601,1
27053026507,1
27141031500,1
27003050504,1
27025110200,1
27123035300,1
27153790100,1
27053012101,1
27053110400,1
27123040803,1
27135970400,1
27003051600,1
27111961100,1
27053026812,1
27145010900,1
27053026903,1
27137013500,1
27013170200,1
27025110302,1
27043460400,1
27109000200,1
27003051400,1
27021960700,1
27007450600,1
27025110502,1
27053026823,1
27003050402,1
27053026822,1
27137015300,1
27035950501,1
27075370400,1
27013170700,1
27053008400,1
27123030202,1
27015960101,1
27053026706,1
27025110401,1
27053026613,1
27027030201,1
27039950200,1
27055020100,1
27067780400,1
27053022102,1
27137013100,1
27169670500,1
27061480802,1
27137013600,1
27113090500,1
27053106500,1
27123041602,1
27137015100,1
27137013300,1
27085950600,1
27135970300,1
27053023400,1
27053025907,1
27111961300,1
27003050710,1
27037060746,1
27053021900,1
27037060745,1
27139080906,1
27137010300,1
27053023902,1
27123031701,1
27051070100,1
27037060603,1
27163070405,1
27123032700,1
27163071101,1
27057070700,1
27053026013,1
27003050605,1
27003050607,1
27139080800,1
27127750300,1
27109001800,1
27023950400,1
27163071017,1
27045960300,1
27049080500,1
27053027001,1
27037060814,1
27053025801,1
27119020600,1
27141030403,1
27003050712,1
27053026018,1
27123031000,1
27123041107,1
27013170500,1
27027020100,1
27053024200,1
27053122500,1
27053026906,1
27067780700,1
27053026208,1
27053022101,1
27109002100,1
27037060716,1
27037060721,1
27055020500,1
27013170800,1
27053106000,1
27117460300,1
27157490400,1
27123041103,1
27095170500,1
27003050821,1
27003050813,1
27053026104,1
27037060730,1
27003050811,1
27053024005,1
27053024003,1
27053011703,1
27053101800,1
27163071209,1
27053024902,1
27163071207,1
27123042301,1
