id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
1400000US45003021203,,"Census Tract 212.03, Aiken County, South Carolina",57,0,70,0,0,52,14,0,71,150,66,103,350,29,0,38,0,23,0,0,0,0,106,0,154,655,15,0,73,0,98,61,0,0,10,92,91,215,318.3,222.23,418.47,629,1588,
1400000US45003021300,,"Census Tract 213, Aiken County, South Carolina",0,0,44,31,0,0,0,0,59,22,16,7,192,0,30,0,80,0,0,0,0,22,5,6,49,198,0,58,0,16,0,30,0,0,0,28,25,41,259,40.53,125.47,144,569,
1400000US45003021400,,"Census Tract 214, Aiken County, South Carolina",71,0,89,66,32,0,0,0,9,0,8,0,251,85,0,90,0,17,0,12,0,0,47,0,0,594,164,166,93,0,34,0,13,0,65,59,0,0,848.9,92.72,170.38,8,1120,
1400000US45003021500,,"Census Tract 215, Aiken County, South Carolina",90,14,0,0,0,178,0,0,23,0,18,76,288,102,0,0,0,0,0,17,0,87,60,22,0,410,0,29,0,0,65,18,17,0,83,82,0,116,254.5,300.59,309.91,232,1097,
1400000US45003021601,,"Census Tract 216.01, Aiken County, South Carolina",146,0,92,0,0,151,0,0,0,21,0,0,449,95,0,6,56,0,168,55,0,20,49,0,0,672,96,75,46,80,83,150,16,0,46,59,21,0,716.9,606.68,186.42,21,1531,
1400000US45003021602,,"Census Tract 216.02, Aiken County, South Carolina",44,17,0,0,25,55,112,54,280,76,85,97,726,135,18,0,0,14,19,0,13,242,133,93,59,651,47,0,0,0,63,22,0,21,145,52,161,140,291.6,454.11,841.29,635,2222,
1400000US45003021700,,"Census Tract 217, Aiken County, South Carolina",80,6,0,34,3,171,60,0,23,15,0,8,379,61,14,0,6,35,86,52,0,91,25,9,0,316,0,0,39,53,41,34,0,46,23,51,19,10,316.7,522.11,210.19,46,1095,
1400000US45003021800,,"Census Tract 218, Aiken County, South Carolina",117,0,11,4,0,33,13,8,3,2,10,0,127,3,0,4,9,17,71,4,0,6,13,0,0,171,8,36,2,26,7,0,46,0,11,7,26,2,227.2,194.4,39.4,38,499,
1400000US45003021900,,"Census Tract 219, Aiken County, South Carolina",133,35,0,0,64,29,15,0,97,14,68,0,531,66,62,0,0,317,0,4,0,32,0,39,11,373,104,59,0,0,109,0,20,0,70,0,0,11,606,436.87,187.13,129,1359,
1400000US45003022001,,"Census Tract 220.01, Aiken County, South Carolina",25,0,35,16,28,0,0,0,14,18,0,0,209,13,0,27,32,34,0,0,0,66,18,0,19,320,13,0,65,0,28,8,21,0,0,76,22,87,253,102.4,181.6,128,665,
