,id,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
954,1400000US24003706700,"Census Tract 7067, Anne Arundel County, Maryland",0,0,0,0,0,0,0,0,0,27,9,0,68,0,0,0,0,0,24,0,0,8,23,0,13,72,0,0,0,0,33,0,0,0,4,22,0,13,9.9,74.94,56.16,35,176,
1044,1400000US24003707001,"Census Tract 7070.01, Anne Arundel County, Maryland",33,0,0,0,0,0,16,0,75,59,45,152,565,32,0,0,41,0,39,15,0,44,52,94,248,442,0,0,0,46,27,19,0,0,24,78,76,172,160.1,292.48,147.42,787,1387,
1249,1400000US24003707002,"Census Tract 7070.02, Anne Arundel County, Maryland",0,0,0,0,0,0,0,0,104,139,21,66,349,0,0,0,23,0,0,0,0,34,65,109,118,278,6,0,0,10,0,0,0,0,16,67,22,157,39,213.62,211.38,493,957,
1288,1400000US24003708001,"Census Tract 7080.01, Anne Arundel County, Maryland",14,0,0,0,0,0,0,0,0,21,37,94,240,51,0,0,32,0,0,0,20,20,35,26,56,275,18,0,0,0,0,0,0,13,0,0,60,184,115,65.32,43.68,457,681,
1289,1400000US24003708004,"Census Tract 7080.04, Anne Arundel County, Maryland",62,56,72,0,0,36,0,0,235,0,0,57,612,34,40,0,43,0,14,0,20,381,29,0,51,369,41,0,0,0,0,15,0,10,61,22,0,220,348,783.22,39.78,328,1499,
725,1400000US24003730100,"Census Tract 7301, Anne Arundel County, Maryland",0,15,0,0,6,0,0,0,44,205,274,521,621,0,0,0,0,0,0,0,0,73,91,124,333,650,26,0,0,0,6,0,53,0,54,40,209,262,44.6,306.32,262.08,1723,2336,
726,1400000US24003730203,"Census Tract 7302.03, Anne Arundel County, Maryland",32,0,45,0,42,11,0,47,65,70,26,48,500,15,0,74,19,130,0,0,34,108,55,46,19,156,34,0,12,0,15,0,0,19,51,0,0,25,287.1,493.4,97.5,164,1042,
727,1400000US24003730204,"Census Tract 7302.04, Anne Arundel County, Maryland",63,0,26,8,106,0,27,0,86,71,5,33,436,64,0,8,7,101,0,0,30,68,143,0,15,787,172,0,0,194,19,0,16,33,161,127,7,58,609.8,654.22,265.98,118,1648,
947,1400000US24003730300,"Census Tract 7303, Anne Arundel County, Maryland",0,0,0,0,13,0,0,0,97,25,98,35,184,0,0,0,0,12,0,0,0,89,0,62,21,364,10,0,23,0,0,0,0,0,56,83,65,127,40.5,283.26,84.24,408,816,
957,1400000US24003730401,"Census Tract 7304.01, Anne Arundel County, Maryland",0,0,0,75,0,0,23,47,26,25,67,70,216,0,0,0,21,0,0,0,0,0,80,43,72,396,0,0,0,45,0,10,0,0,47,116,92,86,141,201.62,172.38,430,945,
955,1400000US24003730402,"Census Tract 7304.02, Anne Arundel County, Maryland",0,14,13,41,0,0,0,0,140,58,84,13,213,0,5,38,34,0,18,0,0,29,53,23,13,355,0,0,13,0,0,18,0,65,57,184,18,0,158,391.9,230.1,151,931,
712,1400000US24003730502,"Census Tract 7305.02, Anne Arundel County, Maryland",67,0,0,0,0,53,0,0,254,55,19,103,441,0,0,0,42,46,0,0,0,142,12,78,121,438,0,0,0,60,30,0,0,0,137,0,59,152,191.8,653.94,52.26,532,1430,
713,1400000US24003730504,"Census Tract 7305.04, Anne Arundel County, Maryland",0,0,28,0,0,0,0,0,159,336,281,158,283,0,0,0,0,0,51,0,0,43,45,68,76,677,0,75,63,0,0,54,0,0,78,58,106,243,166,481.58,342.42,932,1922,
1291,1400000US24003730505,"Census Tract 7305.05, Anne Arundel County, Maryland",69,44,0,8,52,248,26,0,96,57,75,8,485,11,34,11,16,67,54,87,0,151,13,29,12,303,34,11,0,0,11,23,99,0,45,9,0,71,277,937.38,61.62,195,1471,
1292,1400000US24003730506,"Census Tract 7305.06, Anne Arundel County, Maryland",74,0,11,16,52,0,0,0,62,12,0,0,378,249,0,0,16,0,0,0,0,81,9,0,23,209,0,0,0,16,0,0,0,0,163,0,0,30,397.6,347.02,16.38,53,814,
729,1400000US24003730601,"Census Tract 7306.01, Anne Arundel County, Maryland",0,0,0,0,0,0,0,0,30,21,34,326,721,0,0,0,0,0,0,0,0,0,0,50,671,763,0,0,0,0,0,0,0,0,0,0,0,763,0,34.62,16.38,1844,1895,
730,1400000US24003730603,"Census Tract 7306.03, Anne Arundel County, Maryland",0,0,0,0,0,0,0,0,16,34,0,144,251,0,0,0,0,0,0,0,0,0,31,62,158,327,0,0,0,0,0,0,0,0,6,8,128,185,0,38.06,56.94,677,772,
1253,1400000US24003730604,"Census Tract 7306.04, Anne Arundel County, Maryland",0,0,0,0,0,0,0,0,0,18,42,476,894,0,0,0,0,0,0,0,0,0,18,276,600,603,0,0,0,0,0,0,0,0,0,64,24,515,0,22,78,1933,2033,
80,1400000US24003730700,"Census Tract 7307, Anne Arundel County, Maryland",0,0,0,0,0,0,0,39,0,51,148,247,547,0,0,0,0,0,0,0,14,66,67,129,271,899,16,49,0,0,0,0,0,38,52,57,82,605,65,247.5,136.5,1482,1931,
958,1400000US24003730800,"Census Tract 7308, Anne Arundel County, Maryland",0,0,0,0,0,6,0,0,11,16,4,149,161,0,0,0,0,0,0,0,0,8,16,18,119,214,17,0,0,0,0,0,0,0,0,17,30,150,17,35.78,38.22,470,561,
1242,1400000US24003730901,"Census Tract 7309.01, Anne Arundel County, Maryland",0,0,0,0,7,6,0,47,8,26,0,89,221,0,0,0,0,12,6,0,0,17,12,4,170,307,0,0,0,0,0,0,0,12,31,13,30,221,5.7,151.52,39.78,514,711,
1041,1400000US24003730902,"Census Tract 7309.02, Anne Arundel County, Maryland",0,0,0,0,9,0,0,14,30,0,21,130,206,0,0,0,0,0,0,0,0,8,15,64,119,365,0,0,0,0,8,0,0,0,12,54,67,224,5.1,91.08,53.82,625,775,
714,1400000US24003731002,"Census Tract 7310.02, Anne Arundel County, Maryland",0,0,0,0,0,10,0,0,39,9,43,35,254,12,0,0,8,0,21,0,35,38,34,48,58,352,25,0,13,9,0,12,0,0,42,69,105,77,67,221.64,87.36,366,742,
1293,1400000US24003731003,"Census Tract 7310.03, Anne Arundel County, Maryland",0,0,0,0,0,0,5,37,25,53,54,63,377,0,0,0,0,0,0,5,27,0,63,41,241,381,9,0,0,0,0,15,31,6,5,89,56,170,9,201.1,159.9,625,995,
1290,1400000US24003731004,"Census Tract 7310.04, Anne Arundel County, Maryland",0,0,0,0,9,0,0,0,10,86,56,189,290,0,0,30,0,0,28,0,0,19,55,15,143,452,19,0,0,0,0,28,9,0,22,114,59,201,51.7,178.4,198.9,663,1092,
707,1400000US24003731102,"Census Tract 7311.02, Anne Arundel County, Maryland",39,0,0,0,0,32,0,16,41,129,208,325,699,0,0,0,0,0,16,21,16,41,112,87,406,652,0,0,0,0,0,0,0,0,179,168,20,285,39,451.98,319.02,1331,2141,
731,1400000US24003731103,"Census Tract 7311.03, Anne Arundel County, Maryland",10,0,0,0,25,0,0,0,34,73,29,247,507,0,14,0,0,47,0,58,0,37,34,120,197,590,24,0,0,0,0,0,0,0,29,29,237,271,69.6,238.32,106.08,1101,1515,
1294,1400000US24003731104,"Census Tract 7311.04, Anne Arundel County, Maryland",0,0,0,22,0,0,0,0,15,43,11,161,376,0,0,0,11,0,0,0,10,35,73,36,211,463,8,0,23,51,6,10,0,22,56,55,55,177,116.8,189.82,133.38,651,1091,
1295,1400000US24003731105,"Census Tract 7311.05, Anne Arundel County, Maryland",0,0,20,0,16,0,0,0,26,12,76,25,264,0,0,10,0,0,0,0,10,45,49,50,100,472,11,0,11,0,16,0,0,0,127,89,49,169,61.6,263.4,117,469,911,
86,1400000US24003731201,"Census Tract 7312.01, Anne Arundel County, Maryland",0,0,0,0,0,0,25,0,75,18,93,154,616,0,0,21,0,0,0,26,0,42,63,51,413,750,0,0,14,0,0,0,21,0,123,152,104,336,35,363.26,181.74,1151,1731,
1250,1400000US24003731202,"Census Tract 7312.02, Anne Arundel County, Maryland",0,0,0,0,49,0,0,16,0,0,326,135,632,0,0,0,0,71,18,9,74,54,79,72,255,667,0,0,0,0,0,55,9,0,37,55,53,458,36,385.48,104.52,1299,1825,
81,1400000US24003731203,"Census Tract 7312.03, Anne Arundel County, Maryland",0,0,0,0,0,0,0,0,37,16,152,182,680,0,0,0,0,0,0,0,19,68,55,243,295,734,15,0,0,0,14,0,0,41,79,210,94,281,19.2,315.62,219.18,1247,1801,
732,1400000US24003731204,"Census Tract 7312.04, Anne Arundel County, Maryland",0,0,0,0,0,0,0,0,53,118,37,154,234,13,0,0,29,0,0,0,0,11,49,69,63,701,176,0,0,39,0,0,0,0,76,11,54,345,257,179.16,138.84,722,1297,
708,1400000US24003731303,"Census Tract 7313.03, Anne Arundel County, Maryland",0,0,0,0,0,19,0,0,74,0,57,154,258,0,0,0,10,0,10,26,0,22,0,41,149,647,0,0,0,34,13,10,26,0,43,124,49,348,47.9,266.38,96.72,798,1209,
733,1400000US24003731306,"Census Tract 7313.06, Anne Arundel County, Maryland",0,0,0,0,0,0,0,0,14,75,15,143,453,0,0,0,0,0,0,0,0,103,56,38,256,450,0,0,0,0,12,0,0,0,21,21,64,332,3.6,179.84,118.56,848,1150,
711,1400000US24003731307,"Census Tract 7313.07, Anne Arundel County, Maryland",95,0,0,55,0,0,18,14,80,70,128,139,482,59,37,0,0,0,0,0,0,135,0,88,163,490,0,18,0,0,0,0,0,18,92,97,54,211,264,393.74,130.26,783,1571,
