id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
1400000US30013001700,,"Census Tract 17, Cascade County, Montana",0,0,7,5,0,9,0,7,9,6,20,0,124,0,0,0,16,0,17,1,14,9,24,25,18,192,0,0,14,10,0,43,3,32,18,33,29,10,52,149.76,75.24,102,379,
1400000US30013001800,,"Census Tract 18, Cascade County, Montana",70,14,0,9,0,0,9,7,101,9,8,28,258,0,0,0,18,0,19,33,7,33,34,107,7,268,0,0,0,11,14,20,16,0,38,20,128,21,129,231.52,121.48,299,781,
1400000US30013001900,,"Census Tract 19, Cascade County, Montana",0,0,0,41,92,14,0,0,83,113,152,65,512,17,0,0,57,0,0,0,0,119,130,74,115,538,15,0,0,145,0,0,0,57,44,114,83,80,321,279.36,440.64,569,1610,
1400000US30013000200,,"Census Tract 2, Cascade County, Montana",26,34,0,98,11,0,0,0,28,25,10,45,194,0,12,0,13,11,23,0,0,83,10,19,23,176,0,0,0,9,0,23,0,0,62,35,8,39,203,171.18,128.82,144,647,
1400000US30013002100,,"Census Tract 21, Cascade County, Montana",43,0,24,56,0,0,0,0,41,0,74,37,408,62,0,0,0,27,31,0,0,56,90,40,102,345,0,0,30,0,23,31,0,0,121,52,0,88,240,230.88,216.12,341,1028,
1400000US30013002200,,"Census Tract 22, Cascade County, Montana",0,8,0,251,12,0,11,0,12,49,30,28,347,9,4,0,51,69,0,7,0,53,31,82,41,492,36,0,0,177,31,0,0,0,22,80,101,45,592,131.42,189.58,327,1240,
1400000US30013002300,,"Census Tract 23, Cascade County, Montana",0,0,0,0,49,0,0,0,46,138,115,427,583,0,0,0,0,17,0,0,0,196,55,57,258,573,0,12,0,0,33,0,61,28,133,70,12,224,61.5,386,390.5,1093,1931,
1400000US30013000300,,"Census Tract 3, Cascade County, Montana",0,24,46,9,36,20,23,43,58,19,12,31,311,6,0,21,0,0,13,40,32,146,36,0,17,214,53,0,0,0,34,0,22,9,40,28,22,6,194,398.04,165.96,88,846,
1400000US30013000400,,"Census Tract 4, Cascade County, Montana",0,0,6,0,8,23,9,0,61,4,0,0,178,0,13,29,0,12,34,0,0,43,9,0,38,61,0,5,7,0,0,26,0,0,23,0,0,0,70,185.82,56.18,38,350,
1400000US30013000700,,"Census Tract 7, Cascade County, Montana",54,23,46,9,36,0,0,12,20,9,8,0,104,35,0,16,2,13,16,0,6,0,16,0,0,156,30,0,0,0,47,28,0,43,0,8,0,0,263,166.2,39.8,8,477,
1400000US30013000800,,"Census Tract 8, Cascade County, Montana",45,0,5,0,4,0,0,0,8,0,0,0,156,76,12,0,11,8,0,17,0,32,0,0,0,64,17,19,0,0,0,17,0,0,7,4,0,0,191,71.02,19.98,0,282,
1400000US30013000900,,"Census Tract 9, Cascade County, Montana",0,18,42,0,118,9,0,0,11,10,0,21,205,58,23,30,0,20,19,0,0,19,23,10,3,338,75,16,7,26,53,0,0,0,45,34,82,0,390.5,173,92.5,116,772,
1400000US30015010200,,"Census Tract 102, Chouteau County, Montana",0,0,13,0,22,8,9,0,47,13,17,3,154,0,0,0,5,12,5,34,0,31,4,32,31,182,0,0,8,12,2,0,0,1,42,42,52,23,56,154.2,99.8,158,468,
1400000US30015010300,,"Census Tract 103, Chouteau County, Montana",39,15,23,34,12,28,15,2,62,21,9,20,312,72,21,17,36,17,14,0,38,44,20,29,4,308,65,26,15,12,20,33,14,17,30,23,39,14,399.5,275.26,110.24,115,900,
1400000US30017961300,,"Census Tract 9613, Custer County, Montana",0,0,0,14,25,15,5,0,18,32,21,34,149,2,0,0,2,12,16,0,0,32,12,18,55,129,5,0,5,0,3,2,0,4,27,11,27,45,48,112.82,81.18,200,442,
1400000US30017961500,,"Census Tract 9615, Custer County, Montana",10,0,0,0,0,47,0,0,18,20,0,0,179,20,0,13,14,0,15,8,0,44,20,0,45,88,0,0,15,19,6,0,0,0,29,0,10,9,94,133.06,70.94,64,362,
1400000US30017961600,,"Census Tract 9616, Custer County, Montana",10,0,15,0,0,0,8,0,42,81,33,23,144,0,0,20,12,0,0,22,0,7,57,20,6,177,0,0,0,36,0,0,21,11,36,30,34,9,93,118.1,196.9,125,533,
1400000US30017961800,,"Census Tract 9618, Custer County, Montana",0,0,0,0,0,0,0,0,23,27,10,24,95,10,0,0,5,0,0,0,5,9,63,0,3,147,14,20,0,6,0,0,0,0,25,26,30,26,55,42.62,135.38,93,326,
1400000US30017961900,,"Census Tract 9619, Custer County, Montana",0,20,12,5,27,3,0,0,7,4,49,19,146,0,25,4,5,0,5,0,0,14,41,16,36,104,0,0,0,0,12,3,0,0,5,43,29,12,90.5,47.66,96.84,161,396,
1400000US30017962000,,"Census Tract 9620, Custer County, Montana",0,0,5,23,10,0,0,0,25,0,40,23,125,0,0,6,20,15,0,0,3,55,26,0,0,128,0,0,3,0,18,0,0,7,28,54,18,0,78.5,102.78,116.72,81,379,
1400000US30019020300,,"Census Tract 203, Daniels County, Montana",0,0,0,13,22,0,0,0,47,0,12,25,102,0,0,0,4,0,0,0,0,79,0,13,6,143,3,7,0,0,0,0,7,0,48,7,42,29,38,132.84,66.16,127,364,
1400000US30021000100,,"Census Tract 1, Dawson County, Montana",0,3,8,3,1,0,0,2,9,7,7,24,121,0,4,2,0,2,7,0,0,1,48,7,50,106,0,0,6,0,1,11,1,0,5,57,1,24,28,32.9,117.1,113,291,
1400000US30021000200,,"Census Tract 2, Dawson County, Montana",13,12,0,13,0,31,0,12,10,15,17,31,231,20,14,0,0,0,52,0,7,21,23,35,59,205,32,43,0,0,0,12,0,0,16,58,20,24,147,145.02,111.98,186,590,
1400000US30021000300,,"Census Tract 3, Dawson County, Montana",0,0,0,0,39,0,87,29,85,76,46,115,204,18,0,0,86,16,0,0,17,20,24,0,23,261,0,0,0,0,0,0,0,0,71,79,0,111,131.5,276.66,238.84,295,942,
1400000US30023000300,,"Census Tract 3, Deer Lodge County, Montana",0,5,8,14,58,6,0,10,0,24,9,0,182,24,0,16,0,46,11,0,13,40,17,15,0,172,29,0,10,61,33,0,0,0,0,39,0,0,235.5,134.9,93.6,24,488,
1400000US30023000400,,"Census Tract 4, Deer Lodge County, Montana",0,0,59,7,15,0,0,0,11,7,5,29,163,0,0,37,29,35,0,0,0,27,28,7,0,213,14,0,33,48,27,0,0,0,19,31,0,41,265.5,76.12,85.38,82,509,
1400000US30023000500,,"Census Tract 5, Deer Lodge County, Montana",0,0,30,0,0,0,0,0,0,33,0,21,80,0,0,0,0,0,0,0,9,7,55,0,9,202,46,4,8,2,0,24,0,0,10,46,5,57,90,44.22,139.78,92,366,
1400000US30025000100,,"Census Tract 1, Fallon County, Montana",9,23,15,38,0,6,14,2,10,12,34,22,280,9,12,0,0,0,0,0,2,28,39,64,126,182,0,12,0,0,0,0,3,0,15,13,61,78,118,61.98,82.02,385,647,
1400000US30027030100,,"Census Tract 301, Fergus County, Montana",2,9,49,12,32,10,0,3,44,67,17,35,278,0,6,24,20,21,9,0,7,56,71,41,23,299,9,21,26,10,17,15,1,7,96,14,48,35,223,216.36,218.64,199,857,
1400000US30027030200,,"Census Tract 302, Fergus County, Montana",85,15,13,0,106,114,0,35,123,0,0,17,417,37,13,14,0,36,21,0,24,205,0,19,48,497,85,13,21,0,65,33,23,58,141,28,23,7,399.5,721.04,187.46,114,1422,
1400000US30029000100,,"Census Tract 1, Flathead County, Montana",31,0,23,8,0,0,0,4,2,0,37,11,130,0,7,55,0,0,0,0,14,0,0,51,3,152,32,0,0,27,0,0,0,0,68,2,9,14,183,64.2,25.8,125,398,
1400000US30029001000,,"Census Tract 10, Flathead County, Montana",0,10,0,29,0,12,0,28,0,29,0,0,130,0,11,0,0,0,46,0,0,46,0,27,0,103,6,0,0,0,0,0,0,0,0,8,0,89,56,116.36,52.64,116,341,
1400000US30029001100,,"Census Tract 11.00, Flathead County, Montana",50,33,40,0,144,20,28,0,210,12,15,0,171,19,56,0,0,18,40,0,16,22,0,0,0,551,21,52,0,0,35,16,0,129,178,58,50,12,369.5,618.1,209.4,77,1274,
1400000US30029001200,,"Census Tract 12, Flathead County, Montana",0,0,0,0,84,34,0,19,214,34,56,4,793,0,0,0,0,154,38,39,56,239,161,89,17,703,6,0,22,24,37,40,43,30,397,64,20,20,189.5,997.5,548,206,1941,
1400000US30029001301,,"Census Tract 13.01, Flathead County, Montana",0,8,136,0,0,0,0,0,12,15,10,19,128,0,0,27,0,0,0,0,0,11,46,39,5,255,0,2,27,0,91,19,0,0,41,35,40,0,245.5,106.74,117.76,113,583,
1400000US30029001302,,"Census Tract 13.02, Flathead County, Montana",37,0,12,19,0,9,15,14,75,62,44,16,390,4,0,41,6,15,28,14,4,50,87,39,102,390,18,1,0,54,5,38,0,17,81,43,39,94,202,284.96,262.04,334,1083,
1400000US30029001400,,"Census Tract 14, Flathead County, Montana",0,92,0,0,0,0,0,0,53,65,61,63,142,0,41,0,0,0,0,0,0,19,65,17,0,380,0,7,48,30,46,0,0,0,102,102,16,29,241,137.84,291.16,186,856,
1400000US30029001700,,"Census Tract 17, Flathead County, Montana",90,11,11,13,35,47,9,0,272,100,30,80,577,38,19,5,46,18,57,34,0,170,79,39,72,650,26,12,27,13,41,26,25,16,143,160,78,83,358,647.1,537.9,382,1925,
1400000US30029000201,,"Census Tract 2.01, Flathead County, Montana",0,10,95,38,36,66,0,11,12,9,58,7,435,0,9,91,5,57,59,0,9,87,18,66,34,326,6,0,52,25,39,14,0,0,69,19,58,44,397,335.88,103.12,267,1103,
