,id,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
645,1400000US32003000109,"Census Tract 1.09, Clark County, Nevada",104,43,14,0,14,22,0,0,37,25,36,0,98,4,28,12,15,0,0,0,0,39,0,0,0,559,15,16,25,140,7,99,0,0,46,138,73,0,426.5,137.6,278.9,109,952,
507,1400000US32003001003,"Census Tract 10.03, Clark County, Nevada",13,17,0,0,0,0,0,0,66,0,0,0,205,32,18,9,32,27,17,0,0,59,0,0,11,299,15,18,0,0,55,16,0,13,51,0,31,100,195,95.8,167.2,142,600,
330,1400000US32003001004,"Census Tract 10.04, Clark County, Nevada",113,99,106,0,8,21,0,59,85,9,62,0,452,58,86,46,0,0,20,49,90,71,9,23,0,589,0,172,0,79,18,34,0,122,43,121,0,0,772,417.95,328.05,85,1603,
331,1400000US32003001005,"Census Tract 10.05, Clark County, Nevada",0,0,0,0,9,0,0,0,37,38,28,41,111,0,0,0,0,8,0,0,0,22,20,0,61,109,0,37,0,0,0,0,0,0,0,22,19,31,45.5,11.45,136.05,180,373,
175,1400000US32003001006,"Census Tract 10.06, Clark County, Nevada",16,0,0,0,57,0,10,0,0,23,0,39,240,8,24,0,0,29,0,0,0,10,11,75,83,260,25,0,0,0,29,0,0,0,42,60,51,53,130.5,70.1,143.4,301,645,
491,1400000US32003001100,"Census Tract 11, Clark County, Nevada",21,11,12,9,0,0,7,25,0,0,0,0,135,0,37,0,32,37,22,0,0,0,0,0,7,206,0,118,0,42,24,22,0,0,0,0,0,0,312.5,106.5,0,7,426,
535,1400000US32003001200,"Census Tract 12, Clark County, Nevada",19,60,79,39,7,0,0,0,15,34,0,0,297,59,81,61,17,8,30,0,0,0,31,0,10,302,0,58,65,26,90,26,0,0,22,12,3,0,616.5,110.35,112.15,13,852,
266,1400000US32003001300,"Census Tract 13, Clark County, Nevada",187,15,18,18,113,0,37,19,71,0,82,0,496,184,15,36,0,74,0,62,0,19,96,10,0,309,41,15,55,30,38,0,8,0,22,47,26,27,726.5,244.1,249.4,145,1365,
658,1400000US32003001401,"Census Tract 14.01, Clark County, Nevada",0,52,13,29,0,18,0,0,103,13,0,0,55,0,0,11,26,0,0,0,0,0,18,0,0,181,63,0,0,0,23,0,0,52,34,9,0,0,205.5,88.35,170.15,0,464,
659,1400000US32003001402,"Census Tract 14.02, Clark County, Nevada",50,0,68,47,0,47,0,0,68,34,0,0,445,134,0,67,68,52,80,0,0,24,20,0,0,373,67,0,76,107,34,63,0,15,11,0,0,0,727,253.15,151.85,0,1132,
