id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
1400000US04003001701,,"Census Tract 17.01, Cochise County, Arizona",0,0,89,0,0,11,0,0,35,56,18,0,483,0,176,197,0,0,35,0,29,0,46,0,0,163,0,0,0,59,0,0,0,0,38,0,49,17,807,78.65,171.35,84,1141,
1400000US04003001702,,"Census Tract 17.02, Cochise County, Arizona",17,67,33,13,19,63,72,0,0,15,4,0,244,5,15,21,10,0,121,36,0,15,13,0,8,188,0,0,58,0,26,27,53,0,24,0,0,0,298.5,396.45,65.05,12,772,
1400000US04003001703,,"Census Tract 17.03, Cochise County, Arizona",0,20,0,36,0,31,0,72,56,66,102,36,447,0,40,0,34,0,0,0,46,38,145,144,0,167,0,0,0,0,0,0,0,0,19,59,48,41,130,154.65,377.35,371,1033,
1400000US04003001800,,"Census Tract 18, Cochise County, Arizona",71,0,0,0,39,0,0,0,168,169,69,108,673,50,0,0,0,0,15,0,21,148,80,148,211,579,0,17,0,22,0,20,0,0,160,120,106,134,108.5,99.3,821.2,776,1805,
1400000US04003001900,,"Census Tract 19, Cochise County, Arizona",0,0,0,0,0,257,0,0,85,37,56,64,350,20,0,0,0,0,0,0,75,138,65,52,0,816,0,0,0,0,0,97,0,56,84,246,29,304,20,500.35,639.65,505,1665,
1400000US04003000201,,"Census Tract 2.01, Cochise County, Arizona",0,0,0,20,130,73,0,0,39,0,0,11,274,0,0,0,14,65,0,0,0,142,6,12,35,161,0,10,29,0,12,0,22,0,48,28,12,0,176.5,209.95,251.55,70,708,
1400000US04003000202,,"Census Tract 2.02, Cochise County, Arizona",82,62,10,50,10,1,0,0,60,13,47,21,263,44,53,26,42,0,11,0,0,63,11,9,4,432,27,7,71,74,15,0,0,0,174,21,0,43,514.5,39.35,327.15,124,1005,
1400000US04003000203,,"Census Tract 2.03, Cochise County, Arizona",4,0,0,22,20,45,0,0,30,0,0,0,187,0,0,19,0,21,21,0,0,118,8,0,0,218,2,0,12,9,74,2,0,0,74,29,11,5,140.5,136.6,247.9,16,541,
1400000US04003002001,,"Census Tract 20.01, Cochise County, Arizona",112,45,62,93,17,17,0,0,149,116,11,15,524,187,30,115,29,12,0,0,0,80,40,0,31,339,0,0,67,59,0,0,0,0,56,55,83,19,878.5,45.75,481.75,159,1565,
1400000US04003002002,,"Census Tract 20.02, Cochise County, Arizona",0,0,11,0,0,0,44,0,64,99,23,23,474,0,0,71,0,0,0,71,0,79,155,72,26,569,0,0,31,81,60,0,50,73,61,67,8,138,306,278.2,514.8,290,1389,
1400000US04003002100,,"Census Tract 21, Cochise County, Arizona",0,12,0,22,0,32,0,0,52,86,78,67,52,0,0,0,11,0,0,0,0,41,0,0,0,244,0,24,0,22,0,8,0,0,0,0,131,59,91,44.65,174.35,335,645,
1400000US04003000301,,"Census Tract 3.01, Cochise County, Arizona",0,0,0,0,0,0,35,0,34,15,0,7,402,0,131,81,117,49,0,9,0,0,15,0,0,274,8,42,78,11,68,0,0,10,23,0,34,0,607.5,115.35,84.15,41,848,
1400000US04003000302,,"Census Tract 3.02, Cochise County, Arizona",56,0,0,0,0,0,0,0,0,31,33,60,181,0,34,0,26,0,0,0,0,121,0,0,0,242,0,0,0,35,0,0,0,0,87,53,67,0,95,10.4,281.6,160,547,
1400000US04003000303,,"Census Tract 3.03, Cochise County, Arizona",10,0,36,13,0,30,0,80,37,49,0,8,249,26,8,35,13,0,61,0,31,36,19,0,20,283,9,7,26,11,56,0,22,0,11,79,12,50,283,256.2,226.8,90,856,
1400000US04003000400,,"Census Tract 4, Cochise County, Arizona",10,0,10,0,37,0,0,0,18,44,0,0,122,0,0,16,8,40,0,11,0,13,0,10,24,43,0,0,0,9,6,0,0,5,7,0,10,6,110.5,59.4,80.1,50,300,
1400000US04003000500,,"Census Tract 5, Cochise County, Arizona",32,14,0,13,0,12,0,2,32,6,13,6,142,12,15,2,38,13,12,0,8,5,2,35,0,128,22,11,7,5,25,13,0,8,4,2,27,4,160,76.05,48.95,85,370,
1400000US04003000600,,"Census Tract 6, Cochise County, Arizona",0,81,10,8,26,20,42,0,41,27,23,0,215,29,25,9,0,27,0,49,4,25,37,0,10,185,0,36,0,78,23,24,0,0,24,0,0,0,333,181.5,149.5,33,697,
1400000US04003000700,,"Census Tract 7, Cochise County, Arizona",156,72,99,84,16,0,0,0,61,52,20,0,730,165,88,72,115,21,39,26,0,82,74,48,0,343,97,19,31,36,0,31,0,15,61,40,5,8,1067.5,139.7,359.8,81,1648,
1400000US04003000800,,"Census Tract 8, Cochise County, Arizona",5,6,7,19,33,23,0,23,60,0,35,18,462,15,7,6,25,81,48,53,44,73,34,76,0,433,75,0,0,60,81,46,0,6,129,31,5,0,330.5,353.6,313.9,134,1132,
1400000US04003000901,,"Census Tract 9.01, Cochise County, Arizona",81,19,0,6,0,9,15,0,21,14,0,0,277,91,7,12,45,18,23,31,0,50,0,0,0,279,83,29,11,21,28,15,14,0,37,41,0,0,359,135.4,157.6,0,652,
1400000US04003000902,,"Census Tract 9.02, Cochise County, Arizona",39,108,30,3,12,10,0,0,65,8,0,0,117,11,32,8,3,21,0,0,0,24,14,4,0,192,80,39,27,0,14,18,0,0,0,0,5,9,402.5,55.95,106.55,18,583,
1400000US04005000100,,"Census Tract 1, Coconino County, Arizona",0,0,0,0,0,0,0,0,38,10,124,68,249,10,0,0,0,0,0,0,0,0,18,123,98,312,0,0,0,0,0,0,0,0,7,10,62,233,10,2.25,80.75,708,801,
1400000US04005001000,,"Census Tract 10, Coconino County, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,6,24,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,
1400000US04005001101,,"Census Tract 11.01, Coconino County, Arizona",0,0,12,0,0,0,0,11,54,47,30,106,220,0,18,9,0,0,43,0,0,54,24,52,20,348,0,8,0,0,0,24,0,0,140,27,60,89,68,90.4,333.6,357,849,
1400000US04005001102,,"Census Tract 11.02, Coconino County, Arizona",109,0,56,0,45,0,12,37,111,127,74,54,478,0,0,72,10,0,53,10,0,220,10,0,103,253,25,0,0,9,0,19,12,0,109,32,0,47,322.5,187.5,587,278,1375,
1400000US04005001200,,"Census Tract 12, Coconino County, Arizona",12,0,34,0,0,13,0,9,82,8,0,126,53,0,0,0,0,0,11,0,0,8,16,12,6,146,7,0,0,0,0,0,0,0,54,47,5,33,75,40.2,207.8,182,505,
1400000US04005001301,,"Census Tract 13.01, Coconino County, Arizona",0,0,0,0,0,33,0,81,96,26,118,29,456,10,0,0,0,3,44,0,111,97,14,71,106,420,0,0,0,40,17,0,0,70,74,38,134,47,60,362.35,331.65,505,1259,
1400000US04005001302,,"Census Tract 13.02, Coconino County, Arizona",19,0,15,0,45,0,30,12,116,50,95,24,503,23,0,0,0,83,19,36,10,140,59,92,41,568,40,0,58,0,101,0,35,0,151,90,0,93,265.5,276.85,585.65,345,1473,
1400000US04005001500,,"Census Tract 15, Coconino County, Arizona",0,0,0,10,0,0,0,0,0,9,24,0,157,0,0,0,10,10,0,0,0,69,41,9,18,136,0,0,0,41,28,0,0,0,0,64,3,0,80,22.45,179.55,54,336,
1400000US04005001600,,"Census Tract 16, Coconino County, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,18,0,38,0,0,0,0,0,0,0,65,0,47,0,0,0,0,0,0,0,0,18,0,102,19,0,18,139,
1400000US04005001700,,"Census Tract 17, Coconino County, Arizona",30,118,29,17,38,24,0,35,16,0,11,22,334,51,50,47,68,0,0,0,0,65,32,21,0,246,48,44,20,17,0,0,0,10,33,20,0,54,604,93.7,160.3,108,966,
1400000US04005000200,,"Census Tract 2, Coconino County, Arizona",13,0,0,0,11,0,0,12,88,0,37,17,262,0,16,0,0,22,0,0,0,26,46,17,135,300,0,0,0,28,0,0,0,0,8,55,34,175,60.5,34.6,216.9,415,727,
